t,Run,S,I,R,dSdt,dIdt,dRdt
4.141414141414141,0,0.12741332316813528,0.005060982879775738,0.7156385414323307,-0.0038690198832555963,-0.007771240740228599,0.011640260623484196
4.242424242424242,0,0.12705184069581898,0.004333367641621733,0.7167276391428011,-0.0033033740116784473,-0.006663371564051536,0.009966745575729984
4.343434343434343,0,0.1267431744715372,0.003709609956136636,0.7176600630525679,-0.002821006451351863,-0.005711096447762399,0.008532102899114262
4.444444444444445,0,0.12647955686023174,0.003175088838553064,0.7184582017814569,-0.002409502975752357,-0.00489320135291969,0.007302704328672047
4.545454545454545,0,0.12625437604773465,0.0027171857017530784,0.719141285730754,-0.0020583395122839654,-0.004191187601748115,0.00624952711403208
4.646464646464646,0,0.1260620004729573,0.0023250263888965677,0.7197258206183879,-0.0017585848664203039,-0.0035889758280418012,0.005347560694462105
4.747474747474747,0,0.12589763128038609,0.001989251040044762,0.720225965159811,-0.0015026519637820796,-0.003072625428320872,0.004575277392102952
4.848484848484849,0,0.12575717665352604,0.0017018107823002996,0.7206538600444155,-0.0012840895150836847,-0.0026300752842070042,0.003914164799290689
4.94949494949495,0,0.12563714633781028,0.0014557899855390506,0.7210199111568925,-0.0010974077967017305,-0.0022509091700380858,0.0033483169667398163
5.05050505050505,0,0.12553456242684966,0.0012452510635421908,0.7213330339898499,-0.0009379322842400284,-0.0019261451619070101,0.0028640774461470386
5.151515151515151,0,0.1254468828759017,0.0010650989080416714,0.7216008656962984,-0.0008016800278101261,-0.001648047460685718,0.002449727488495844
5.252525252525253,0,0.12537193875405908,0.000910965096304649,0.7218299436298781,-0.000685256761565952,-0.0014099629599347403,0.0020952197215006923
5.353535353535354,0,0.12530787682001196,0.000779103623821643,0.7220258670364081,-0.0005857669255432042,-0.0012061714092465744,0.0017919383347897787
5.454545454545454,0,0.12525311493234148,0.0006663052507742384,0.722193427297126,-0.0005007408489314897,-0.0010317612278492583,0.001532502076780748
5.555555555555555,0,0.12520630110360093,0.0005698202067047201,0.722336726169936,-0.00042807048225352386,-0.0008825159931673324,0.0013105864754208562
5.656565656565657,0,0.12516628051748893,0.0004872938086111347,0.7224592731541416,-0.0003659565212583411,-0.0007548192385472684,0.0011207757598056096
5.757575757575758,0,0.12513206676550892,0.00041671051633017625,0.7225640701984025,-0.00031286308890790386,-0.0006455710986515014,0.0009584341875594053
5.858585858585858,0,0.12510281642657467,0.0003563441038128546,0.7226536869498541,-0.0002674779060239509,-0.0005521135327456147,0.0008195914387695655
5.959595959595959,0,0.12507780903093388,0.00030471757794563485,0.7227303208713621,-0.00022868044213591692,-0.0004721699871390432,0.0007008504292749601
6.0606060606060606,0,0.12505642882110737,0.0002605670288139298,0.7227958516303202,-0.0001955134925519799,-0.0004037906737200586,0.0005993041662720385
6.161616161616162,0,0.12503814934730562,0.0002228106887933342,0.7228518874441426,-0.00016715901708910173,-0.00034530556713556693,0.0005124645842246687
6.262626262626262,0,0.12502252083701398,0.0001905234112964734,0.7228998032319311,-0.00014291830295251398,-0.0002952855430293748,0.0004382038459818888
6.363636363636363,0,0.12500915863559534,0.0001629134023747853,0.7229407754422715,-0.00012219400416800465,-0.00025250682129400156,0.0003747008254620062
6.4646464646464645,0,0.1249977339836328,0.00013930343593144892,0.7229758100606773,-0.00010447568296539172,-0.00021592221967694077,0.0003203979026423325
6.565656565656566,0,0.124987965929261,0.00011911441540464873,0.723005767135576,-8.932721096568047e-05,-0.00018463594446501162,0.0002739631554306921
6.666666666666667,0,0.12497961415125386,0.00010185076022715543,0.7230313825687606,-7.637561228521056e-05,-0.00015788113623724692,0.0002342567485224575
6.767676767676767,0,0.1249724731300718,8.70884822396489e-05,0.7230532858679302,-6.530197803979954e-05,-0.00013500153111139292,0.00020030350915119246
