,Model,Data pts/run,Data pts/interval,Runs,Noise Lvl,Reg weight,Layers,Hid Nodes,Lrn rate,Activ Func,Euler steps,Epochs,MSE Train,Sim Time,MSE true alldat,MSE noisy alldat,MAE true alldat,MSE_dy pred alldat,MAE_dy pred alldat,MSE_dy dat alldat,MAE_dy dat alldat,stop criteria,MSE fitdat,MAE fitdat,MSE_dy dat fitdat ,MAE_dy dat fitdat,MSE_dy pred fitdat,MAE_dy pred fitdat
29,fhn,10,4,5,0.05,1.00E-06,2,20,0.1,tanh,30,197,0.004014163,80.33455801,0.133800696,0.19852066,0.243276637,0.843349419,0.533254302,1.645830295,0.697396657,converge,1.029636841,0.364914956,2.417181534,0.813737065,5.515790472,4.899851543
30,fhn,10,7,5,0.05,1.00E-06,1,10,0.1,tanh,30,258,0.004869459,134.3892622,0.217924531,0.271293793,0.276753089,0.63464953,0.477143307,1.47768823,0.643889986,converge,1.001915283,0.415129633,2.186264962,0.777838113,4.434831848,4.335374009
31,fhn,10,7,5,0.05,1.00E-06,2,10,0.1,tanh,30,255,0.005010246,172.814678,0.088265978,0.166603165,0.190405979,0.71912707,0.509058021,1.33896573,0.646266859,converge,1.002095184,0.285608968,1.956787854,0.756743672,5.647767339,4.70974935
32,fhn,10,7,5,0.05,1.00E-06,1,15,0.1,tanh,30,274,0.004782226,142.4501688,0.088296697,0.152558966,0.203617172,0.495064931,0.422267909,1.189680165,0.581234928,converge,1.000890427,0.305425758,1.751269836,0.694392736,3.256590099,3.84780284
33,fhn,10,7,5,0.05,1.00E-06,2,15,0.1,tanh,30,348,0.004850828,242.6005323,0.268498063,0.349053764,0.296424566,0.588566337,0.502042804,0.997935369,0.588374703,converge,0.996550827,0.444636849,1.451964579,0.704399084,5.359834673,4.847108665
34,fhn,10,7,5,0.05,1.00E-06,1,20,0.1,tanh,30,280,0.004984474,152.6854551,0.118460926,0.178811665,0.216397717,0.438634808,0.386530839,1.045807049,0.526255764,converge,1.012305069,0.324596576,1.537128995,0.625531411,2.635837732,3.372254216
35,fhn,10,7,5,0.05,1.00E-06,2,20,0.1,tanh,30,228,0.004590993,159.5099897,0.16600265,0.217637444,0.259087421,0.899505734,0.5647893,1.837692069,0.740373716,converge,1.011128693,0.388631131,2.772819271,0.865241863,6.21718929,5.142850717
36,fhn,10,9,5,0.05,1.00E-06,1,10,0.1,tanh,30,336,0.005345459,214.8714921,0.157573443,0.218079605,0.234825246,0.537747774,0.455388779,1.244937791,0.584410303,converge,1.013839569,0.352237869,1.795261685,0.70726725,3.491232667,4.059318018
37,fhn,10,9,5,0.05,1.00E-06,2,10,0.1,tanh,30,232,0.005442884,199.6344995,0.069773875,0.148525991,0.17069946,0.539353413,0.374105242,1.097599574,0.537199945,converge,1.02443718,0.256049189,1.387529961,0.583160362,2.277091403,2.883922128
38,fhn,10,9,5,0.05,1.00E-06,1,15,0.1,tanh,30,317,0.00514725,203.9416451,0.117780557,0.180505066,0.216997286,0.501396106,0.414909296,1.165791374,0.540146477,converge,1.025017548,0.325495929,1.737206248,0.664878802,3.105348037,3.762169405
39,fhn,10,9,5,0.05,1.00E-06,2,15,0.1,tanh,30,211,0.005471652,183.9374456,0.0623423,0.139326706,0.16433711,0.516166726,0.368193229,1.084881831,0.514309961,converge,1.026469955,0.246505666,1.593497169,0.603593907,2.612259609,3.024548553
40,fhn,10,9,5,0.05,1.00E-06,1,20,0.1,tanh,30,305,0.005278385,199.8830733,0.122246705,0.184754677,0.210524064,0.426751086,0.38833558,0.933634426,0.523117944,converge,1.024762268,0.315786096,1.226065797,0.582877828,2.19012703,3.199276999
41,fhn,10,9,5,0.05,1.00E-06,2,20,0.1,tanh,30,214,0.005085665,228.1473253,0.093248109,0.159173594,0.206707265,0.873060712,0.548925317,1.501781014,0.647054395,converge,1.031495895,0.310060897,2.17198218,0.766819604,5.520960474,4.890131824
42,fhn,10,10,5,0.05,1.00E-06,1,10,0.1,tanh,30,357,0.00544636,202.7816713,0.11570525,0.179816704,0.20122942,0.560121196,0.430817256,1.168042612,0.547327095,converge,1.050697479,0.30184413,1.66896756,0.643837557,3.283765692,3.745051227
