,Model,Data pts/run,Data pts/interval,Runs,Noise Lvl,Reg weight,Layers,Hid Nodes,Lrn rate,Activ Func,Euler steps,Epochs,MSE Train,Sim Time,MSE true alldat,MSE noisy alldat,MAE true alldat,MSE_dy pred alldat,MAE_dy pred alldat,MSE_dy dat alldat,MAE_dy dat alldat,stop criteria,MSE fitdat,MAE fitdat,MSE_dy dat fitdat ,MAE_dy dat fitdat,MSE_dy pred fitdat,MAE_dy pred fitdat
73,sir,10,4,10,0,1.00E-06,2,10,0.1,tanh,25,191,0.000399924,51.15499043,0.007454257,0.007454256,0.022813843,0.074307364,0.042274576,0.000340695,0.009391177,converge,0.040536575,0.030418457,0.000340695,0.009391177,4.18279597,3.168018563
74,sir,10,4,10,0,1.00E-06,1,15,0.1,tanh,25,341,0.000268007,85.41834617,0.004775682,0.004775682,0.017023682,0.009152632,0.014606985,0.000411028,0.010589092,converge,0.038557526,0.022698242,0.000411028,0.010589092,0.297230635,0.93203534
75,sir,10,4,10,0,1.00E-06,2,15,0.1,tanh,25,269,0.000337278,84.37312722,0.002210886,0.002210886,0.015913151,0.004066921,0.012515428,0.000582601,0.01086929,converge,0.036784016,0.021217534,0.000582601,0.01086929,0.118090229,0.823579355
76,sir,10,4,10,0,1.00E-06,1,20,0.1,tanh,25,213,0.000391831,54.44223905,0.067225056,0.067225049,0.043825695,0.686270705,0.117815255,0.000256338,0.009169298,converge,0.094112803,0.05843426,0.000256338,0.009169298,47.41536972,9.514192916
77,sir,10,4,10,0,1.00E-06,2,20,0.1,tanh,25,251,0.000297461,81.45000458,0.011444341,0.011444341,0.024439629,0.082512459,0.039317949,0.000370635,0.010644152,converge,0.044449685,0.032586172,0.000370635,0.010644152,3.852262199,2.71004113
78,sir,10,7,10,0,1.00E-06,1,10,0.1,tanh,25,299,0.000489622,126.9854753,0.000256677,0.000256677,0.009233051,0.000266468,0.006097197,0.000407567,0.011277768,converge,0.035740487,0.012310735,0.000407567,0.011277768,0.022326151,0.577704815
79,sir,10,7,10,0,1.00E-06,2,10,0.1,tanh,25,217,0.000730923,117.5527425,0.000322458,0.000322458,0.010754402,0.000508725,0.008115458,0.000454755,0.011389728,converge,0.03567886,0.014339203,0.000454755,0.011389728,0.034892415,0.713688771
80,sir,10,7,10,0,1.00E-06,1,15,0.1,tanh,25,339,0.000545837,144.3270466,0.000443167,0.000443167,0.011520521,0.000246885,0.006355486,0.000391871,0.011794673,converge,0.03628533,0.015360694,0.000391871,0.011794673,0.03155607,0.58843639
81,sir,10,7,10,0,1.00E-06,2,15,0.1,tanh,25,279,0.000630966,152.1981444,0.000333658,0.000333658,0.01052166,0.000385566,0.007061125,0.000610075,0.013852067,converge,0.035664721,0.01402888,0.000610075,0.013852067,0.029353794,0.584634598
82,sir,10,7,10,0,1.00E-06,1,20,0.1,tanh,25,454,0.00063724,200.8813229,0.000516598,0.000516598,0.012023765,0.000324246,0.008277417,0.00032707,0.011530167,converge,0.035938651,0.016031687,0.00032707,0.011530167,0.034303855,0.737237058
83,sir,10,7,10,0,1.00E-06,2,20,0.1,tanh,25,345,0.000707411,202.4244168,0.001007612,0.001007612,0.014461638,0.000597447,0.009018397,0.000612178,0.015340417,converge,0.036692028,0.019282183,0.000612178,0.015340417,0.051996047,0.804216958
84,sir,10,9,10,0,1.00E-06,1,10,0.1,tanh,25,116,13344.76,62.93721032,3034.782807,3034.782917,35.20962963,390261197.6,11216.09846,217.9710184,12.3032745,diverge,3039.062083,46.94617284,217.9710184,12.3032745,33038499752,1052094.729
85,sir,10,9,10,0,1.00E-06,2,10,0.1,tanh,25,293,0.001182812,211.9739375,0.00032759,0.00032759,0.011306463,0.000775681,0.011187742,0.000470735,0.013998625,converge,0.035762227,0.015075285,0.000470735,0.013998625,0.053829306,0.99967603
86,sir,10,9,10,0,1.00E-06,1,15,0.1,tanh,25,393,0.00074119,214.5041735,0.000338959,0.000338959,0.0108934,0.000237693,0.007381901,0.000465535,0.0130831,converge,0.036173766,0.014524533,0.000465535,0.0130831,0.028513264,0.665931487
