Model,Data pts/run,Data pts/interval,Runs,Noise Lvl,Reg weight,Layers,Hid Nodes,Lrn rate,Activ Func,Euler steps,Epochs,MSE Train,Sim Time,MSE true alldat,MSE noisy alldat,MAE true alldat,MSE_dy pred alldat,MAE_dy pred alldat,MSE_dy dat alldat,MAE_dy dat alldat,stop criteria,MSE fitdat,MAE fitdat,MSE_dy dat fitdat ,MAE_dy dat fitdat,MSE_dy pred fitdat,MAE_dy pred fitdat
sir,5,4,1,0.05,1.00E-06,2,20,0.1,tanh,25,281,4.24E-06,91.02887344,0.044096024,0.047504025,0.121993012,0.062359582,0.144252842,0.091634596,0.224089146,converge,6.38E-05,0.162657349,0.07055087,0.160736106,0.067052761,0.151270536
sir,5,4,1,0.1,1.00E-06,1,10,0.1,tanh,25,71,1.42E-06,18.09061718,0.05003827,0.058454895,0.135350907,0.056206821,0.140073426,0.073662792,0.192633072,converge,9.39E-05,0.180467877,0.064664638,0.161126266,0.059444717,0.148231261
sir,5,4,1,0.1,1.00E-06,2,10,0.1,tanh,25,70,4.56E-06,22.60221314,0.049839776,0.058151366,0.134983342,0.061510373,0.137403861,0.085767427,0.200448499,converge,8.79E-05,0.179977789,0.068546436,0.157227988,0.06442623,0.146800334
sir,5,4,1,0.1,1.00E-06,1,15,0.1,tanh,25,113,1.70E-05,29.10143089,0.05084188,0.059292615,0.136780781,0.120257511,0.198068842,0.163036646,0.284019606,converge,8.98E-05,0.182374375,0.138584605,0.226931851,0.130936579,0.212150234
sir,5,4,1,0.1,1.00E-06,2,15,0.1,tanh,25,71,6.78E-07,23.43207526,0.049946383,0.058268598,0.135310556,0.053970654,0.126147661,0.075164341,0.18452379,converge,7.82E-05,0.180414075,0.060779492,0.14575007,0.057125077,0.135374128
sir,5,4,1,0.1,1.00E-06,1,20,0.1,tanh,25,79,1.46E-06,19.44701791,0.04946926,0.05770078,0.134227938,0.066451546,0.130777341,0.089019106,0.188326143,converge,8.02E-05,0.178970584,0.074000812,0.149704519,0.070777646,0.141115107
sir,5,4,1,0.1,1.00E-06,2,20,0.1,tanh,25,197,4.33E-06,65.45144749,0.049915273,0.058241475,0.135064142,0.075708164,0.155852837,0.103620637,0.224183394,converge,8.95E-05,0.180085522,0.086712623,0.178453332,0.081120731,0.166058374
sir,8,7,1,0,1.00E-06,1,10,0.1,tanh,25,79,8.31E-06,37.39967275,0.038960177,0.038960175,0.130868151,0.014299898,0.061194257,0.031219485,0.128078704,converge,9.49E-06,0.174490868,0.013144325,0.045190929,0.01314988,0.045263788
sir,8,7,1,0,1.00E-06,2,10,0.1,tanh,25,54,5.98E-06,37.27474284,0.032758825,0.032758824,0.115883827,0.012895455,0.04533451,0.033502378,0.138327868,converge,8.94E-06,0.15451177,0.011592846,0.043792252,0.011543809,0.043487306
sir,8,7,1,0,1.00E-06,1,15,0.1,tanh,25,125,1.47E-05,55.05782485,0.100570144,0.100570146,0.191303749,0.019335641,0.086883432,0.036824241,0.145484158,converge,1.53E-05,0.255071665,0.014384933,0.046861202,0.014382607,0.047105158
