Model,Data pts/run,Data pts/interval,Runs,Noise Lvl,Reg weight,Layers,Hid Nodes,Lrn rate,Activ Func,Euler steps,Epochs,MSE Train,Sim Time,MSE true alldat,MSE noisy alldat,MAE true alldat,MSE_dy pred alldat,MAE_dy pred alldat,MSE_dy dat alldat,MAE_dy dat alldat,stop criteria,MSE fitdat,MAE fitdat,MSE_dy dat fitdat ,MAE_dy dat fitdat,MSE_dy pred fitdat,MAE_dy pred fitdat
fhn,3,2,3,0.05,1.00E-06,1,20,0.1,tanh,30,153,0.001179476,16.73932934,107.2885838,107.0242025,4.48303075,143864109,3360.925455,5.382167908,1.510655832,converge,1.009330432,6.724546126,7.190984718,1.730822054,7.74899567,1.873947408
fhn,3,2,3,0.05,1.00E-06,2,20,0.1,tanh,30,188,0.000880847,27.12999058,50.69690904,50.51311849,3.234306479,15582805.02,1075.160547,4.253364572,1.163762854,converge,1.600207329,4.851459718,7.251110561,1.513000563,7.53546574,1.522327855
fhn,3,2,3,0.1,1.00E-06,1,10,0.1,tanh,30,219,0.005058791,22.73758173,266.7129048,266.2968913,7.018577479,2033025506,13113.72655,6.910578831,1.885647216,converge,4.462623172,10.52786622,11.1691473,2.463291823,222.7171852,7.939202375
fhn,3,2,3,0.1,1.00E-06,2,10,0.1,tanh,30,391,0.002950784,56.29473996,212.310107,211.673877,6.223423781,1482892037,10046.8463,15.73321254,3.356341712,converge,9.069384257,9.335135671,18.02701605,3.432012258,4708.313324,30.88250264
fhn,3,2,3,0.1,1.00E-06,1,15,0.1,tanh,30,236,0.004849284,25.23811817,75.56751125,76.61034342,5.342721728,12742691.56,1245.567775,12.63126754,2.773217918,converge,3.8922543,8.014082591,15.47320097,2.955717716,77.48217757,5.536257405
fhn,3,2,3,0.1,1.00E-06,2,15,0.1,tanh,30,286,0.003306316,41.92034221,20.98841157,21.54421997,2.660523432,202469.2229,186.8845786,8.847140458,1.827594781,converge,1.371367772,3.990785148,17.73548087,2.694825711,14.74906505,2.264741154
fhn,3,2,3,0.1,1.00E-06,1,20,0.1,tanh,30,190,0.004247434,21.60032487,95.82934906,96.66054688,5.56446607,38784319.82,2076.711561,8.75477498,1.924445535,converge,1.859663857,8.346699106,16.63784253,2.740755245,11.90280774,2.007938907
fhn,3,2,3,0.1,1.00E-06,2,20,0.1,tanh,30,177,0.003610394,25.81886959,31.6448012,32.13960368,3.102805215,1455253.891,410.8797581,7.544369318,1.634812509,converge,2.313990275,4.654207822,15.79539414,2.536781731,12.90109981,2.208991115
fhn,5,4,3,0,1.00E-06,1,10,0.1,tanh,30,137,0.000407645,39.00618196,1.064828249,1.064828262,0.632806177,27.65337893,1.954996382,3.468391124,0.89126915,converge,0.008532956,0.949209265,4.630363042,1.057400897,4.846258922,1.155719551
fhn,5,4,3,0,1.00E-06,2,10,0.1,tanh,30,108,0.000548978,49.3530004,0.567828434,0.567828522,0.461861168,34.82253575,2.319069461,4.063492313,0.924644452,converge,0.015308002,0.692791752,6.03437632,1.220405612,6.090466771,1.305073064
fhn,5,4,3,0,1.00E-06,1,15,0.1,tanh,30,144,0.00040467,56.67900634,0.54897759,0.548977623,0.45672779,24.6505371,1.953726914,3.673372369,0.875363266,converge,0.010065535,0.685091685,5.427337179,1.130260255,5.654217774,1.230728605
fhn,5,4,3,0,1.00E-06,2,15,0.1,tanh,30,262,0.000341934,100.3865597,0.34339407,0.343394089,0.357000991,18.70018524,1.712325607,3.323947935,0.837597942,converge,0.009850222,0.535501486,6.142557792,1.146035147,6.086089256,1.154641919
