tB,tS,tP,tD,t,Run,Sf,F,tV,dBdt,dSdt,dPdt,dVdt
52.34584362681056,62.71604950034867,16.024043426942573,0.006336405529953912,156.0,5,575.0,0.11,17.360000000000014,-0.48973963467398834,-0.13378103776472194,-0.021045256110969468,0.11
50.91873083838811,62.3250626340119,15.95602838186171,0.00621820237422272,159.0,5,575.0,0.11,17.690000000000015,-0.46198840519750733,-0.1270377238020406,-0.024229157151449132,0.11
49.57204399375104,61.952919944625194,15.879066415058393,0.006104328523862369,162.0,5,575.0,0.11,18.020000000000017,-0.43610616635797833,-0.12119810181727564,-0.0270151117825998,0.11
48.300323290576124,61.597085294114905,15.794304541534846,0.00599455040871934,165.0,5,575.0,0.11,18.35000000000002,-0.4119943536524246,-0.11614764328993754,-0.02943421124904083,0.11
47.09840739717957,61.25534828871026,15.70279777763961,0.005888650963597424,168.0,5,575.0,0.11,18.68000000000002,-0.3895529460803174,-0.11178339591675845,-0.031516648539619885,0.11
45.96143504677364,60.92579138752615,15.605512227943645,0.005786428195686474,171.0,5,575.0,0.11,19.010000000000023,-0.3686821159051651,-0.1080130157311805,-0.033291468485050046,0.11
44.88484250557761,60.606759283581326,15.503328826403578,0.005687693898655629,174.0,5,575.0,0.11,19.340000000000025,-0.34928352379009925,-0.10475386643249918,-0.0347863836335654,0.11
43.86435759366028,60.29683100475839,15.397047531910365,0.005592272496187079,177.0,5,575.0,0.11,19.670000000000027,-0.3312612951852455,-0.10193219560772127,-0.03602764911971662,0.11
42.895991149424276,59.99479451473653,15.28739181404269,0.005499999999999992,180.0,5,575.0,0.11,20.00000000000003,-0.31452273730447544,-0.09948238090918382,-0.037039985703253064,0.11
41.976026609156385,59.69962330851774,15.175013346679995,0.005410723069355624,183.0,5,575.0,0.11,20.33000000000003,-0.2989788547790065,-0.09734622525366543,-0.03784654163398932,0.11
41.101008406436456,59.41045514078028,15.060496729485898,0.00532429816069699,186.0,5,575.0,0.11,20.660000000000032,-0.2845446983114948,-0.09547231400474754,-0.03846888450313493,0.11
40.26772943263805,59.126572610830856,14.94436421661086,0.005240590757503566,189.0,5,575.0,0.11,20.99000000000003,-0.271139579428261,-0.09381541578977215,-0.03892701835846976,0.11
39.47321818382366,58.84738543062228,14.827080336703188,0.005159474671669786,192.0,5,575.0,0.11,21.320000000000032,-0.2586871862563391,-0.09233593184538424,-0.039239417769308615,0.11
38.71472548037223,58.57241432198009,14.709056426687296,0.005080831408775973,195.0,5,575.0,0.11,21.650000000000034,-0.24711561230383167,-0.09099937750843967,-0.03942307822695265,0.11
37.98971123941517,58.301276351314975,14.590654996858955,0.005004549590536846,198.0,5,575.0,0.11,21.98000000000003,-0.23635732501247841,-0.08977589981146128,-0.03949357630245387,0.11
10.0,0.0,0.0,0.55,0.0,6,525.0,0.11,0.2,-5.969683257918551,288.69999999999993,0.0,0.11
6.241766318946826,321.3302769233053,0.03803662443460904,0.2075471698113208,3.0,6,525.0,0.11,0.5299999999999999,0.365827125653263,38.68265940162418,-0.0011668312671489506,0.11
9.207911766757586,387.93473865434026,0.040888052399645526,0.12790697674418597,6.0,6,525.0,0.11,0.8600000000000004,1.5842966959844227,11.58450060162546,0.0030814215711577808,0.11
15.834193069729274,406.1510425282512,0.057693340117492366,0.09243697478991597,9.0,6,525.0,0.11,1.19,2.8394357426299983,1.693065859567426,0.00845300234068004,0.11
26.06578861415313,402.3467200201115,0.09395727414215232,0.07236842105263158,12.0,6,525.0,0.11,1.52,3.916860708585958,-3.7290815863874105,0.01613369407539849,0.11
38.83601817080481,386.22726494573834,0.1568064933252673,0.05945945945945946,15.0,6,525.0,0.11,1.8499999999999999,4.508230550429171,-6.681679012803874,0.0261092152197712,0.11
52.63708807370805,363.8854891588636,0.25237260448173693,0.050458715596330306,18.0,6,525.0,0.11,2.179999999999999,4.625874871873362,-8.000864991778617,0.03784610099671537,0.11
66.27806123771475,339.1946895372289,0.3850944075579938,0.04382470119521916,21.0,6,525.0,0.11,2.509999999999998,4.429189108147446,-8.340049340311065,0.05079910564312551,0.11
79.04248976650743,314.3711425822217,0.5579625079482398,0.03873239436619721,24.0,6,525.0,0.11,2.839999999999998,4.060912677681818,-8.14719894998303,0.0645508043235062,0.11
90.56447637692708,290.5713855651749,0.7728808810945144,0.03470031545741327,27.0,6,525.0,0.11,3.169999999999998,3.612259735671528,-7.690606558063958,0.07878590068458227,0.11
100.68807927037916,268.33862722588185,1.0309001007176828,0.031428571428571445,30.0,6,525.0,0.11,3.4999999999999982,3.134869626049974,-7.120667893066097,0.09324387428909411,0.11
109.3732442040014,247.878090552074,1.3323288764648686,0.0287206266318538,33.0,6,525.0,0.11,3.829999999999998,2.6566136249515413,-6.518772378870257,0.10768675649502785,0.11
116.64196965168586,229.21464302038643,1.676773658553758,0.02644230769230771,36.0,6,525.0,0.11,4.1599999999999975,2.192349547403986,-5.927535174265814,0.12188263016452408,0.11
122.5494957940047,212.28072295490077,2.0631459408918595,0.02449888641425391,39.0,6,525.0,0.11,4.4899999999999975,1.7501293970667933,-5.368072924275587,0.13559978704247294,0.11
