tB,tS,tP,tV,t,Run
100.239914,224.40286,2.3869586,4.4900007,39.0,3
106.32336,208.02708,2.7939906,4.8200006,42.0,3
111.447174,192.60988,3.2233543,5.150001,45.0,3
115.568794,178.26637,3.6729968,5.4800014,48.0,3
118.68383,165.06055,4.14108,5.8100014,51.0,3
120.81984,153.01302,4.625873,6.140001,54.0,3
122.028885,142.10985,5.125625,6.4700003,57.0,3
122.38019,132.31161,5.6384344,6.8,60.0,3
121.95378,123.56122,6.162142,7.1299996,63.0,3
120.83531,115.79034,6.694247,7.46,66.0,3
119.11227,108.92441,7.2318616,7.7900004,69.0,3
116.871284,102.88625,7.7716985,8.120001,72.0,3
114.19634,97.598595,8.310104,8.450001,75.0,3
111.16757,92.98583,8.843133,8.780002,78.0,3
107.86053,88.97515,9.366646,9.110002,81.0,3
104.34556,85.497375,9.876446,9.440002,84.0,3
100.68751,82.487495,10.368428,9.770002,87.0,3
96.94536,79.885086,10.838733,10.100002,90.0,3
93.17197,77.634605,11.283892,10.430003,93.0,3
89.413956,75.68556,11.700948,10.760003,96.0,3
85.71153,73.99265,12.08756,11.090004,99.0,3
82.09864,72.51568,12.442053,11.420005,102.0,3
78.603,71.2195,12.763449,11.750006,105.0,3
75.246445,70.073746,13.051442,12.080007,108.0,3
72.04538,69.05257,13.306356,12.410007,111.0,3
69.01115,68.13418,13.529072,12.740008,114.0,3
66.150696,67.30051,13.720937,13.070009,117.0,3
63.467117,66.53665,13.883674,13.40001,120.0,3
60.960255,65.8305,14.019277,13.730011,123.0,3
58.6273,65.17226,14.129927,14.060012,126.0,3
56.463367,64.55405,14.217906,14.390014,129.0,3
54.461926,63.969543,14.28552,14.720015,132.0,3
52.615295,63.413692,14.335049,15.050015,135.0,3
50.914997,62.882435,14.368694,15.380016,138.0,3
49.35208,62.372463,14.388544,15.710017,141.0,3
47.917374,61.881092,14.396553,16.040018,144.0,3
46.60171,61.406082,14.394521,16.37002,147.0,3
45.396053,60.94557,14.38409,16.70002,150.0,3
44.29165,60.497955,14.36674,17.030022,153.0,3
43.280075,60.061867,14.343794,17.360022,156.0,3
42.353344,59.636112,14.3164215,17.690023,159.0,3
41.503925,59.219658,14.285646,18.020023,162.0,3
40.72474,58.811592,14.2523575,18.350025,165.0,3
40.009205,58.411102,14.217325,18.680025,168.0,3
39.351208,58.01753,14.1812,19.010027,171.0,3
38.745094,57.63026,14.144535,19.340027,174.0,3
38.185684,57.248787,14.10779,19.670029,177.0,3
37.66819,56.87269,14.071345,20.00003,180.0,3
37.18826,56.50163,14.035508,20.33003,183.0,3
36.74192,56.13533,14.000522,20.660032,186.0,3
36.325558,55.77359,13.966575,20.990032,189.0,3
35.935886,55.416286,13.933814,21.320034,192.0,3
35.569954,55.063328,13.902339,21.650034,195.0,3
35.225086,54.71467,13.872214,21.980034,198.0,3
4.2604027,-32.466908,-0.08644151,0.2,0.0,4
4.6111293,356.6738,0.078809045,0.53000003,3.0,4
12.347958,406.04022,0.035344917,0.86000013,6.0,4
20.873356,415.43063,0.022481611,1.1900002,9.0,4
29.992348,411.53748,0.053454507,1.5200001,12.0,4
39.66207,401.19968,0.13038784,1.8500003,15.0,4
49.81326,387.0013,0.25310978,2.1800003,18.0,4
60.325256,370.20947,0.4203376,2.5100005,21.0,4
71.021774,351.61053,0.6299227,2.8400006,24.0,4
81.67738,331.8033,0.8790074,3.1700003,27.0,4
92.03384,311.30743,1.1642509,3.5,30.0,4
101.82385,290.5941,1.4821334,3.83,33.0,4
110.79787,270.08414,1.8292873,4.1600003,36.0,4
118.74766,250.13452,2.2027752,4.4900007,39.0,4
125.521996,231.02689,2.6002643,4.8200006,42.0,4
131.03233,212.96365,3.0200589,5.150001,45.0,4
135.2495,196.07295,3.4610138,5.4800014,48.0,4
138.19423,180.42001,3.922361,5.8100014,51.0,4
139.92526,166.02118,4.403484,6.140001,54.0,4
140.52736,152.85802,4.9036856,6.4700003,57.0,4
140.10107,140.88945,5.4219675,6.8,60.0,4
138.755,130.06108,5.956845,7.1299996,63.0,4
136.60034,120.31166,6.506198,7.46,66.0,4
133.74751,111.57729,7.0671754,7.7900004,69.0,4
130.30403,103.793816,7.636158,8.120001,72.0,4
126.37353,96.897835,8.208777,8.450001,75.0,4
122.055145,90.82723,8.780012,8.780002,78.0,4
117.44309,85.52114,9.34433,9.110002,81.0,4
112.62631,80.91992,9.895912,9.440002,84.0,4
107.68783,76.96524,10.428903,9.770002,87.0,4
102.70423,73.60019,10.937687,10.100002,90.0,4
97.74491,70.769516,11.417167,10.430003,93.0,4
92.87133,68.42005,11.862996,10.760003,96.0,4
88.13652,66.50096,12.271774,11.090004,99.0,4
83.58474,64.96405,12.641164,11.420005,102.0,4
79.25143,63.76388,12.969924,11.750006,105.0,4
75.16333,62.857796,13.25789,12.080007,108.0,4
71.33909,62.205864,13.505871,12.410007,111.0,4
67.78979,61.770596,13.715517,12.740008,114.0,4
64.519905,61.51679,13.889155,13.070009,117.0,4
61.528122,61.411285,14.029611,13.40001,120.0,4
58.80836,61.42276,14.140041,13.730011,123.0,4
56.350597,61.52158,14.223777,14.060012,126.0,4
54.141747,61.679768,14.284187,14.390014,129.0,4
52.16638,61.87101,14.3245735,14.720015,132.0,4
50.407444,62.070774,14.348077,15.050015,135.0,4
48.84677,62.256447,14.357625,15.380016,138.0,4
47.465588,62.40754,14.35588,15.710017,141.0,4
46.244926,62.505863,14.345222,16.040018,144.0,4
45.165936,62.535767,14.327738,16.37002,147.0,4
44.210175,62.484325,14.305214,16.70002,150.0,4
43.35988,62.34143,14.279157,17.030022,153.0,4
42.598106,62.09995,14.250799,17.360022,156.0,4
41.908955,61.755714,14.221126,17.690023,159.0,4
41.277683,61.307545,14.190891,18.020023,162.0,4
40.690826,60.757114,14.160645,18.350025,165.0,4
40.13632,60.108856,14.130755,18.680025,168.0,4
39.60352,59.369713,14.101438,19.010027,171.0,4
39.083298,58.548897,14.072773,19.340027,174.0,4
38.56805,57.657593,14.044737,19.670029,177.0,4
38.051674,56.708607,14.017219,20.00003,180.0,4
37.529575,55.716057,13.990043,20.33003,183.0,4
36.99859,54.69492,13.962996,20.660032,186.0,4
36.45693,53.660694,13.935833,20.990032,189.0,4
35.904076,52.628994,13.908307,21.320034,192.0,4
35.340668,51.615185,13.880175,21.650034,195.0,4
34.768383,50.63402,13.851214,21.980034,198.0,4
5.2443714,5.134686,0.14226073,0.2,0.0,5
6.2855806,399.38016,0.111663304,0.53000003,3.0,5
14.754562,444.4764,0.01796372,0.86000013,6.0,5
24.02207,448.70486,-0.021306448,1.1900002,9.0,5
33.885315,439.5656,-0.005015379,1.5200001,12.0,5
44.280766,424.15158,0.065056734,1.8500003,15.0,5
55.109283,405.18573,0.18654391,2.1800003,18.0,5
66.21397,384.03888,0.3564822,2.5100005,21.0,5
77.3809,361.5831,0.57127494,2.8400006,24.0,5
88.3524,338.48514,0.8268158,3.1700003,27.0,5
98.850525,315.30853,1.118756,3.5,30.0,5
108.60607,292.53958,1.4428495,3.83,33.0,5
117.386635,270.58368,1.7952821,4.1600003,36.0,5
125.01708,249.75575,2.1729066,4.4900007,39.0,5
131.38913,230.27608,2.5733404,4.8200006,42.0,5
136.45993,212.27512,2.994919,5.150001,45.0,5
140.24283,195.80632,3.43655,5.4800014,48.0,5
142.79408,180.86284,3.8975039,5.8100014,51.0,5
144.19894,167.39459,4.377187,6.140001,54.0,5
144.55981,155.32349,4.874929,6.4700003,57.0,5
143.98665,144.55545,5.3897963,6.8,60.0,5
142.5906,134.98917,5.9204392,7.1299996,63.0,5
140.47984,126.521935,6.464982,7.46,66.0,5
137.75732,119.05327,7.0209503,7.7900004,69.0,5
134.51982,112.48681,7.5852423,8.120001,72.0,5
130.85779,106.73128,8.154144,8.450001,75.0,5
126.85543,101.70071,8.723391,8.780002,78.0,5
122.59117,97.31443,9.288276,9.110002,81.0,5
118.13777,93.49696,9.843799,9.440002,84.0,5
113.562515,90.17791,10.384845,9.770002,87.0,5
108.92711,87.29193,10.906398,10.100002,90.0,5
104.2875,84.77884,11.403739,10.430003,93.0,5
99.69362,82.58373,11.872649,10.760003,96.0,5
95.18911,80.65711,12.309572,11.090004,99.0,5
90.81109,78.95496,12.711738,11.420005,102.0,5
86.590164,77.43876,13.077236,11.750006,105.0,5
82.55041,76.07532,13.40503,12.080007,108.0,5
78.709724,74.836586,13.694928,12.410007,111.0,5
75.08022,73.6992,13.947508,12.740008,114.0,5
71.66885,72.644135,14.164009,13.070009,117.0,5
68.47794,71.65608,14.34622,13.40001,120.0,5
65.50599,70.72298,14.496345,13.730011,123.0,5
62.74829,69.83543,14.616872,14.060012,126.0,5
60.197674,68.986275,14.710468,14.390014,129.0,5
57.845062,68.17009,14.779873,14.720015,132.0,5
55.680077,67.38279,14.827812,15.050015,135.0,5
53.691467,66.62131,14.856936,15.380016,138.0,5
51.867542,65.883316,14.869766,15.710017,141.0,5
50.19647,65.167046,14.868657,16.040018,144.0,5
48.666527,64.47109,14.855784,16.37002,147.0,5
47.266327,63.7943,14.833122,16.70002,150.0,5
45.984898,63.13567,14.802449,17.030022,153.0,5
44.811832,62.49431,14.765345,17.360022,156.0,5
43.737316,61.869427,14.723199,17.690023,159.0,5
42.75218,61.260258,14.677227,18.020023,162.0,5
41.847908,60.66605,14.628476,18.350025,165.0,5
41.01662,60.08613,14.577845,18.680025,168.0,5
40.25108,59.519825,14.526093,19.010027,171.0,5
39.54462,58.966522,14.473861,19.340027,174.0,5
38.891193,58.425636,14.421678,19.670029,177.0,5
38.28527,57.896626,14.369975,20.00003,180.0,5
37.721832,57.378986,14.319106,20.33003,183.0,5
37.19634,56.872295,14.269341,20.660032,186.0,5
36.704704,56.376137,14.220894,20.990032,189.0,5
36.243217,55.890167,14.17392,21.320034,192.0,5
35.808548,55.4141,14.128531,21.650034,195.0,5
35.397728,54.94766,14.0848,21.980034,198.0,5
1.7105311,15.024815,0.671628,0.2,0.0,6
4.754107,368.19608,0.2693751,0.53000003,3.0,6
12.789024,408.62393,0.13958584,0.86000013,6.0,6
21.3203,412.44943,0.09820948,1.1900002,9.0,6
30.284445,404.32397,0.120118245,1.5200001,12.0,6
39.657063,390.6039,0.1971495,1.8500003,15.0,6
49.36895,373.7203,0.32496858,2.1800003,18.0,6
59.300354,354.88254,0.50017667,2.5100005,21.0,6
69.28446,334.84402,0.71942973,2.8400006,24.0,6
79.11749,314.1693,0.9791898,3.1700003,27.0,6
88.57533,293.33167,1.2757572,3.5,30.0,6
97.43442,272.7434,1.6054403,3.83,33.0,6
105.49316,252.75764,1.9647647,4.1600003,36.0,6
112.58937,233.66139,2.3506532,4.4900007,39.0,6
118.61078,215.6699,2.7605247,4.8200006,42.0,6
123.49769,198.92685,3.1922958,5.150001,45.0,6
127.238914,183.5104,3.6442974,5.4800014,48.0,6
129.86356,169.44386,4.1151323,5.8100014,51.0,6
131.4309,156.7078,4.6035037,6.140001,54.0,6
132.02069,145.25218,5.1080403,6.4700003,57.0,6
131.72475,135.00688,5.6271367,6.8,60.0,6
130.6405,125.88975,6.1588273,7.1299996,63.0,6
128.86642,117.81286,6.7006965,7.46,66.0,6
126.49902,110.68664,7.2498226,7.7900004,69.0,6
123.63107,104.42262,7.802778,8.120001,72.0,6
120.35058,98.93511,8.355661,8.450001,75.0,6
116.7403,94.14222,8.90419,8.780002,78.0,6
112.877464,89.966354,9.443813,9.110002,81.0,6
108.83358,86.33462,9.969875,9.440002,84.0,6
104.674324,83.17907,10.477778,9.770002,87.0,6
100.45926,80.4369,10.96318,10.100002,90.0,6
96.24169,78.05058,11.4221525,10.430003,93.0,6
92.06844,75.96804,11.851348,10.760003,96.0,6
87.979774,74.142715,12.248103,11.090004,99.0,6
84.009315,72.53352,12.610512,11.420005,102.0,6
80.18426,71.104706,12.937456,11.750006,105.0,6
76.52563,69.82563,13.228583,12.080007,108.0,6
73.04866,68.6704,13.484253,12.410007,111.0,6
69.76334,67.61747,13.705452,12.740008,114.0,6
66.67509,66.64913,13.893689,13.070009,117.0,6
63.785248,65.751,14.050884,13.40001,120.0,6
61.091923,64.911545,14.179261,13.730011,123.0,6
58.5905,64.121605,14.28123,14.060012,126.0,6
56.274296,63.37393,14.359305,14.390014,129.0,6
54.135063,62.66281,14.416019,14.720015,132.0,6
52.163506,61.983704,14.453861,15.050015,135.0,6
50.349613,61.333,14.475216,15.380016,138.0,6
48.683067,60.707783,14.482342,15.710017,141.0,6
47.153442,60.105667,14.477336,16.040018,144.0,6
45.750446,59.52463,14.462122,16.37002,147.0,6
44.464058,58.96295,14.438443,16.70002,150.0,6
43.28465,58.41912,14.4078665,17.030022,153.0,6
42.20307,57.891777,14.371782,17.360022,156.0,6
41.210682,57.37969,14.331409,17.690023,159.0,6
40.2994,56.881744,14.287817,18.020023,162.0,6
39.461685,56.3969,14.241924,18.350025,165.0,6
38.69056,55.92422,14.194522,18.680025,168.0,6
37.979572,55.462837,14.146277,19.010027,171.0,6
37.322803,55.011967,14.097754,19.340027,174.0,6
36.71483,54.570908,14.049417,19.670029,177.0,6
36.150677,54.139034,14.001645,20.00003,180.0,6
35.625835,53.71579,13.954747,20.33003,183.0,6
35.1362,53.3007,13.908964,20.660032,186.0,6
34.67803,52.893353,13.864482,20.990032,189.0,6
34.247963,52.49341,13.821437,21.320034,192.0,6
33.84296,52.10059,13.779925,21.650034,195.0,6
33.460278,51.71468,13.7400055,21.980034,198.0,6
9.948588,-14.84823,-0.015414094,0.2,0.0,7
6.8450527,360.29626,0.10788054,0.53000003,3.0,7
13.947437,404.26047,0.061113156,0.86000013,6.0,7
22.10822,409.51285,0.052365154,1.1900002,9.0,7
30.873196,402.15375,0.09120864,1.5200001,12.0,7
40.119358,388.91168,0.17832391,1.8500003,15.0,7
49.741165,372.35638,0.3126446,2.1800003,18.0,7
59.602535,353.76035,0.49225473,2.5100005,21.0,7
69.52855,333.90976,0.7145788,2.8400006,24.0,7
79.31125,313.38712,0.9765219,3.1700003,27.0,7
88.72451,292.67627,1.2746571,3.5,30.0,7
97.54394,272.19565,1.6054741,3.83,33.0,7
105.56767,252.30205,1.9656223,4.1600003,36.0,7
112.63355,233.28482,2.3521123,4.4900007,39.0,7
118.62932,215.36093,2.7624247,4.8200006,42.0,7
123.4951,198.67531,3.194519,5.150001,45.0,7
127.21949,183.30731,3.646755,5.4800014,48.0,7
129.83115,169.28136,4.1177573,5.8100014,51.0,7
131.38892,156.57904,4.606238,6.140001,54.0,7
131.97203,145.15134,5.110834,6.4700003,57.0,7
131.67181,134.92894,5.6299467,6.8,60.0,7
130.58524,125.83053,6.1616116,7.1299996,63.0,7
128.8104,117.76884,6.7034144,7.46,66.0,7
126.4435,110.65486,7.2524366,7.7900004,69.0,7
123.576996,104.400665,7.805253,8.120001,72.0,7
120.298676,98.920975,8.357967,8.450001,75.0,7
116.69109,94.13422,8.906301,8.780002,78.0,7
112.83133,89.96309,9.445706,9.110002,81.0,7
108.79077,86.33497,9.971529,9.440002,84.0,7
104.63497,83.182106,10.479186,9.770002,87.0,7
100.42343,80.44186,10.964336,10.100002,90.0,7
96.209366,78.056854,11.42306,10.430003,93.0,7
92.03953,75.97514,11.852017,10.760003,96.0,7
87.954124,74.15027,12.248545,11.090004,99.0,7
83.98679,72.541245,12.610744,11.420005,102.0,7
80.16466,71.11237,12.9375,11.750006,105.0,7
76.50873,69.83309,13.228462,12.080007,108.0,7
73.03424,68.67756,13.483991,12.410007,111.0,7
69.75119,67.62424,13.705071,12.740008,114.0,7
66.66495,66.655464,13.893218,13.070009,117.0,7
63.77693,65.75687,14.050344,13.40001,120.0,7
61.08521,64.91696,14.178671,13.730011,123.0,7
58.585182,64.12657,14.280607,14.060012,126.0,7
56.2702,63.378452,14.358668,14.390014,129.0,7
54.13201,62.6669,14.415382,14.720015,132.0,7
52.16134,61.98739,14.453234,15.050015,135.0,7
50.34821,61.33629,14.474607,15.380016,138.0,7
48.68229,60.710712,14.481761,15.710017,141.0,7
47.153187,60.10825,14.476786,16.040018,144.0,7
45.750614,59.5269,14.461607,16.37002,147.0,7
44.46457,58.964935,14.437968,16.70002,150.0,7
43.28543,58.420834,14.407429,17.030022,153.0,7
42.204063,57.893238,14.371384,17.360022,156.0,7
41.21183,57.38092,14.33105,17.690023,159.0,7
40.300655,56.88275,14.287495,18.020023,162.0,7
39.463013,56.397717,14.241641,18.350025,165.0,7
