dTdt,dEBdt,dStydt,dH2dt,dBeEtdt,dToMedt,t,Run
-9.167218,-0.2536895,0.17998062,0.16316468,0.017797086,0.02868743,3.0,1
-8.745184,-0.2445291,0.16758221,0.153329,0.016916484,0.028692909,3.12,1
-8.347669,-0.23584327,0.15594476,0.14409395,0.016093928,0.028679037,3.24,1
-7.973027,-0.22760436,0.14501797,0.13541995,0.015325051,0.028647278,3.36,1
-7.619752,-0.21978678,0.13475527,0.12727079,0.014605837,0.028598946,3.48,1
-7.2864585,-0.21236649,0.12511455,0.11961302,0.013932741,0.028535226,3.6,1
-6.971874,-0.20532112,0.11605632,0.11241584,0.013302469,0.028457247,3.72,1
-6.674822,-0.19862944,0.10754429,0.10565075,0.012712035,0.028365973,3.84,1
-6.3942156,-0.192272,0.09954502,0.09929134,0.0121587245,0.028262356,3.96,1
-6.129047,-0.18623006,0.09202736,0.093313105,0.011640037,0.0281472,4.08,1
-5.878382,-0.18048641,0.084962375,0.08769316,0.011153679,0.028021315,4.2,1
-5.6413517,-0.17502469,0.0783231,0.08241043,0.010697516,0.027885392,4.32,1
-5.417147,-0.16982959,0.07208454,0.07744506,0.010269608,0.027740108,4.44,1
-5.2050185,-0.16488664,0.06622324,0.07277867,0.009868174,0.027586076,4.56,1
-5.0042586,-0.16018234,0.060717545,0.06839398,0.009491528,0.027423868,4.68,1
-4.8142147,-0.1557038,0.055546828,0.064274855,0.009138126,0.027253995,4.8,1
-4.634277,-0.15143913,0.050692275,0.060406376,0.008806559,0.027076963,4.92,1
-4.4638658,-0.14737684,0.04613569,0.056774262,0.008495469,0.026893232,5.04,1
-4.3024445,-0.14350629,0.041860513,0.05336527,0.00820362,0.026703207,5.16,1
-4.1495137,-0.13981749,0.03785117,0.050167054,0.007929887,0.02650732,5.279999999999999,1
-4.004595,-0.13630077,0.034092553,0.047167897,0.007673147,0.026305908,5.4,1
-3.8672493,-0.13294727,0.030571144,0.044356853,0.007432438,0.026099345,5.52,1
-3.7370555,-0.12974833,0.02727363,0.04172352,0.0072067957,0.02588795,5.64,1
-3.613626,-0.12669602,0.024187753,0.03925832,0.006995347,0.025672039,5.76,1
-3.4965892,-0.123782806,0.021302268,0.03695203,0.006797279,0.025451878,5.88,1
-3.385599,-0.12100149,0.018606083,0.03479606,0.0066118124,0.025227748,6.0,1
-3.2803295,-0.118345365,0.016088994,0.03278236,0.0064382176,0.024999902,6.12,1
-3.1804683,-0.11580787,0.0137412725,0.030903157,0.006275825,0.02476857,6.24,1
-3.08573,-0.11338308,0.011553953,0.029151304,0.006124003,0.02453401,6.359999999999999,1
-2.9958413,-0.11106527,0.009518514,0.027520048,0.005982152,0.024296397,6.48,1
-2.9105406,-0.10884892,0.0076265293,0.026002921,0.0058496953,0.024055924,6.6,1
-2.8295882,-0.10672894,0.0058705998,0.024593895,0.005726119,0.023812804,6.72,1
-2.7527487,-0.10470049,0.0042434004,0.02328709,0.005610914,0.02356721,6.84,1
-2.679809,-0.10275895,0.0027381561,0.022077246,0.005503625,0.0233193,6.96,1
-2.6105616,-0.10089999,0.0013482934,0.020959262,0.0054037785,0.023069223,7.08,1
-2.544815,-0.09911946,6.795877e-05,0.019928172,0.0053110025,0.022817144,7.199999999999999,1
-2.4823823,-0.097413495,-0.0011087758,0.01897949,0.0052248742,0.022563193,7.319999999999999,1
-2.4230928,-0.09577832,-0.002187362,0.018108835,0.0051450324,0.022307515,7.439999999999999,1
-2.3667834,-0.094210476,-0.0031729122,0.01731219,0.0050711334,0.02205022,7.56,1
-2.313297,-0.09270655,-0.004070529,0.016585596,0.0050028358,0.02179143,7.68,1
-2.2624853,-0.09126351,-0.004884605,0.015925452,0.0049398146,0.02153125,7.8,1
-2.2142115,-0.089878276,-0.0056195757,0.01532818,0.0048818113,0.021269813,7.92,1
-2.1683471,-0.08854806,-0.006279538,0.01479065,0.004828528,0.021007186,8.04,1
-2.1247616,-0.08727014,-0.0068685776,0.014309603,0.0047797007,0.020743487,8.16,1
-2.0833395,-0.086042,-0.0073901876,0.013882142,0.004735083,0.020478792,8.28,1
-2.0439706,-0.08486121,-0.007847988,0.013505506,0.004694446,0.020213181,8.4,1
-2.006547,-0.083725445,-0.008245558,0.013176987,0.0046575423,0.01994676,8.52,1
-1.9709679,-0.08263258,-0.0085856905,0.012894071,0.0046241884,0.019679565,8.64,1
-1.937142,-0.081580535,-0.008871582,0.012654447,0.0045941775,0.01941171,8.76,1
-1.9049753,-0.08056732,-0.009105945,0.012455799,0.004567324,0.019143226,8.879999999999999,1
-1.8743836,-0.079591095,-0.009291678,0.012295973,0.0045434437,0.018874206,9.0,1
-1.8452897,-0.07865016,-0.009430983,0.012173032,0.004522386,0.01860469,9.12,1
-1.8176085,-0.07774271,-0.0095268665,0.012084944,0.0045039384,0.018334756,9.24,1
-1.7912755,-0.07686726,-0.009580916,0.012029956,0.0044880207,0.01806443,9.36,1
-1.7662208,-0.07602223,-0.009595989,0.012006349,0.0044744457,0.0177938,9.48,1
-1.7423722,-0.075206235,-0.009573675,0.012012363,0.0044630826,0.017522885,9.6,1
-1.7196727,-0.07441793,-0.009516027,0.012046598,0.00445381,0.017251743,9.72,1
-1.6980666,-0.07365594,-0.00942514,0.012107508,0.004446504,0.01698042,9.84,1
-1.6774882,-0.072919145,-0.009302517,0.012193603,0.004441039,0.016708953,9.96,1
-1.6578944,-0.072206296,-0.009149939,0.01230368,0.0044373255,0.016437389,10.08,1
-1.6392316,-0.071516365,-0.008969032,0.012436479,0.0044352375,0.016165763,10.2,1
-1.6214496,-0.07084824,-0.008761219,0.012590676,0.0044346983,0.015894104,10.32,1
-1.6045064,-0.070200905,-0.008527809,0.012765242,0.004435617,0.015622441,10.44,1
-1.588356,-0.06957352,-0.008270592,0.012959085,0.0044378573,0.015350826,10.56,1
-1.5729606,-0.068965055,-0.007990416,0.013171148,0.004441394,0.015079269,10.68,1
-1.5582781,-0.068374716,-0.0076887086,0.013400402,0.0044461233,0.014807816,10.8,1
-1.5442724,-0.06780171,-0.0073666666,0.013646048,0.0044519445,0.01453648,10.92,1
-1.5309159,-0.06724519,-0.0070253694,0.0139072165,0.0044588395,0.014265295,11.04,1
-1.5181624,-0.06670454,-0.006665654,0.014182876,0.004466701,0.013994281,11.16,1
-1.5059946,-0.066178896,-0.0062888744,0.014472482,0.0044754874,0.013723465,11.28,1
-1.4943671,-0.06566773,-0.0058956346,0.0147750685,0.004485111,0.013452853,11.4,1
-1.4832634,-0.065170415,-0.0054870774,0.0150901,0.0044955304,0.013182483,11.52,1
-1.4726553,-0.064686276,-0.0050639864,0.015416843,0.0045066997,0.012912378,11.64,1
-1.4625095,-0.06421477,-0.004627113,0.015754523,0.004518543,0.0126425335,11.76,1
-1.4528098,-0.0637554,-0.0041771987,0.01610268,0.004531038,0.012372998,11.88,1
-1.4435303,-0.06330756,-0.003715185,0.016460696,0.0045441166,0.012103774,12.0,1
