dBdt,dSdt,dPdt,dVdt,t,Run
-0.14636905,-0.08695122,-0.048290905,0.11000001,192.0,1
-0.16930388,-0.03227076,-0.046647668,0.11000001,195.0,1
-0.19611338,0.027920041,-0.04467545,0.11000001,198.0,1
-24.24281,321.4145,1.8137301,0.11000001,0.0,2
4.7078176,29.888172,-0.32994807,0.11000001,3.0,2
5.524734,0.35651296,-0.29580802,0.11000001,6.0,2
5.3916574,-6.39995,-0.2392694,0.11000001,9.0,2
4.9421396,-7.960356,-0.16408496,0.11000001,12.0,2
4.368807,-8.610905,-0.075150646,0.11000001,15.0,2
3.7985394,-7.567324,0.010620588,0.11000001,18.0,2
3.3204656,-7.036701,0.082556695,0.11000001,21.0,2
2.9235473,-6.1491547,0.135534,0.11000001,24.0,2
2.6062775,-6.4075527,0.17056741,0.11000001,27.0,2
2.2803316,-5.7640586,0.19227517,0.11000001,30.0,2
1.9838006,-5.4566393,0.2033318,0.11000001,33.0,2
1.6822451,-4.6732674,0.20803799,0.11000001,36.0,2
1.4424562,-4.67206,0.20489375,0.11000001,39.0,2
1.1694477,-4.220729,0.20114014,0.11000001,42.0,2
0.94346094,-4.211194,0.19304761,0.11000001,45.0,2
0.6905377,-4.0558124,0.18677841,0.11000001,48.0,2
0.43618485,-3.5242038,0.18150157,0.11000001,51.0,2
0.29260677,-3.7428496,0.16953158,0.11000001,54.0,2
0.06795628,-3.6218393,0.16584384,0.11000001,57.0,2
-0.17273036,-3.4679124,0.1657435,0.11000001,60.0,2
-0.43985906,-2.8099294,0.17021044,0.11000001,63.0,2
-0.54803336,-2.725176,0.16420333,0.11000001,66.0,2
-0.6639553,-2.799479,0.16104563,0.11000001,69.0,2
-0.88821316,-2.2845132,0.1687994,0.11000001,72.0,2
-1.0187753,-1.9747179,0.1701933,0.11000001,75.0,2
-1.1064214,-1.9535927,0.16911729,0.11000001,78.0,2
-1.2929462,-1.3881669,0.1773898,0.11000001,81.0,2
-1.3594494,-0.9971374,0.17575175,0.11000001,84.0,2
-1.3120568,-1.2495364,0.16444355,0.11000001,87.0,2
-1.4529437,-0.6671507,0.16992112,0.11000001,90.0,2
-1.4346423,-0.43750423,0.16122065,0.11000001,93.0,2
-1.3327464,-0.69799733,0.14507698,0.11000001,96.0,2
-1.3900781,-0.43485877,0.14334132,0.11000001,99.0,2
-1.415387,-0.1883174,0.13869177,0.11000001,102.0,2
-1.384981,-0.07599739,0.12904768,0.11000001,105.0,2
-1.3300856,-0.044030298,0.117362686,0.11000001,108.0,2
-1.2771769,-0.14479394,0.10614389,0.11000001,111.0,2
-1.3200433,0.123171866,0.10402934,0.11000001,114.0,2
-1.2961137,0.2720886,0.09599996,0.11000001,117.0,2
-1.2124375,0.21649419,0.08283923,0.11000001,120.0,2
-1.1463983,0.31346643,0.07180617,0.11000001,123.0,2
-1.0012434,0.06558921,0.05393827,0.11000001,126.0,2
-0.9364072,0.0514188,0.044125542,0.11000001,129.0,2
-0.8681195,0.16692214,0.03443411,0.11000001,132.0,2
-0.6918177,-0.17898202,0.015168454,0.11000001,135.0,2
-0.6216131,-0.27192494,0.006369478,0.11000001,138.0,2
-0.59049284,-0.18666533,0.0015630723,0.11000001,141.0,2
-0.50855625,-0.26957393,-0.0077039166,0.11000001,144.0,2
-0.43905225,-0.26842797,-0.015474587,0.11000001,147.0,2
-0.33123204,-0.4097628,-0.026518721,0.11000001,150.0,2
-0.24406818,-0.5463507,-0.035310898,0.11000001,153.0,2
-0.19645995,-0.57497656,-0.04017607,0.11000001,156.0,2
-0.15269375,-0.60505587,-0.04453713,0.11000001,159.0,2
-0.116662815,-0.5212392,-0.048058897,0.11000001,162.0,2
-0.010676895,-0.6324707,-0.057969116,0.11000001,165.0,2
0.104381144,-0.9002341,-0.06850017,0.11000001,168.0,2
0.12436494,-0.8657315,-0.07002649,0.11000001,171.0,2
0.16283022,-0.907937,-0.073259465,0.11000001,174.0,2
0.18611853,-0.9562273,-0.07505724,0.11000001,177.0,2
0.17311491,-0.90032554,-0.07350767,0.11000001,180.0,2
0.1592281,-0.842441,-0.07194773,0.11000001,183.0,2
0.14604571,-0.8537039,-0.07052189,0.11000001,186.0,2
0.08447363,-0.6628811,-0.06470611,0.11000001,189.0,2
0.067402855,-0.55373055,-0.063125245,0.11000001,192.0,2
0.0880175,-0.5478639,-0.06505705,0.11000001,195.0,2
0.11564138,-0.6243068,-0.06761413,0.11000001,198.0,2
-24.24281,297.17963,1.8137301,0.11000001,0.0,3
4.2714415,25.339302,-0.32140943,0.11000001,3.0,3
5.2748966,0.13201627,-0.3157275,0.11000001,6.0,3
5.294146,-6.679066,-0.27537662,0.11000001,9.0,3
4.9749117,-8.711328,-0.21679911,0.11000001,12.0,3
4.482884,-8.844894,-0.14262827,0.11000001,15.0,3
3.941416,-8.196664,-0.06321571,0.11000001,18.0,3
3.4269807,-7.3193803,0.010462336,0.11000001,21.0,3
2.9659028,-6.463974,0.072196804,0.11000001,24.0,3
2.5556087,-5.717861,0.120403744,0.11000001,27.0,3
2.1836455,-5.0926876,0.15612979,0.11000001,30.0,3
1.8378866,-4.5718675,0.18142314,0.11000001,33.0,3
1.5102221,-4.132915,0.19843705,0.11000001,36.0,3
1.1970551,-3.7562723,0.20905848,0.11000001,39.0,3
0.8984149,-3.4277735,0.21480638,0.11000001,42.0,3
0.6165734,-3.138046,0.21687548,0.11000001,45.0,3
0.35478398,-2.8811567,0.21618928,0.11000001,48.0,3
0.116280794,-2.65324,0.21347898,0.11000001,51.0,3
-0.09645914,-2.4511962,0.20933044,0.11000001,54.0,3
-0.2820082,-2.2721047,0.20420662,0.11000001,57.0,3
-0.44012478,-2.1129036,0.19847327,0.11000001,60.0,3
-0.571643,-1.9703457,0.19239634,0.11000001,63.0,3
-0.67828524,-1.8410554,0.18615839,0.11000001,66.0,3
-0.76232,-1.7219709,0.17985806,0.11000001,69.0,3
-0.82631546,-1.6103573,0.17352502,0.11000001,72.0,3
-0.8728987,-1.504231,0.16713321,0.11000001,75.0,3
-0.904513,-1.4023196,0.1606189,0.11000001,78.0,3
-0.92330706,-1.304112,0.1538973,0.11000001,81.0,3
-0.93108886,-1.2097375,0.1468799,0.11000001,84.0,3
-0.9292498,-1.1200318,0.13948423,0.11000001,87.0,3
-0.9188568,-1.0360948,0.13164651,0.11000001,90.0,3
-0.90070766,-0.95931715,0.12332641,0.11000001,93.0,3
-0.87535715,-0.8911619,0.11450911,0.11000001,96.0,3
-0.8432572,-0.83287925,0.10520614,0.11000001,99.0,3
-0.8047717,-0.78557765,0.09545329,0.11000001,102.0,3
-0.7602733,-0.7500419,0.0853031,0.11000001,105.0,3
-0.71015483,-0.7266688,0.07482879,0.11000001,108.0,3
-0.6548941,-0.71549404,0.06411147,0.11000001,111.0,3
-0.5950196,-0.7162307,0.053239018,0.11000001,114.0,3
-0.5311522,-0.7282137,0.042305097,0.11000001,117.0,3
-0.46397322,-0.75050294,0.031403143,0.11000001,120.0,3
-0.39421383,-0.78202784,0.020618446,0.11000001,123.0,3
-0.32265937,-0.82145107,0.010038826,0.11000001,126.0,3
-0.25007018,-0.867361,-0.00025874213,0.11000001,129.0,3
-0.17724931,-0.91833204,-0.010206075,0.11000001,132.0,3
-0.104936115,-0.9728969,-0.019742016,0.11000001,135.0,3
-0.033857297,-1.0296317,-0.028814226,0.11000001,138.0,3
0.035320364,-1.0871904,-0.03737847,0.11000001,141.0,3
0.10199079,-1.1443179,-0.045403793,0.11000001,144.0,3
0.16560894,-1.1998606,-0.05286264,0.11000001,147.0,3
0.22571713,-1.2528368,-0.059737667,0.11000001,150.0,3
0.28192016,-1.3023217,-0.06601941,0.11000001,153.0,3
0.33389473,-1.3475627,-0.071703516,0.11000001,156.0,3
0.3814066,-1.3879682,-0.076794215,0.11000001,159.0,3
0.42426935,-1.4230611,-0.08130011,0.11000001,162.0,3
0.46237853,-1.4524323,-0.08523233,0.11000001,165.0,3
0.49567434,-1.4758332,-0.08860607,0.11000001,168.0,3
0.5241675,-1.4930845,-0.09144303,0.11000001,171.0,3
0.54788893,-1.5041559,-0.093766324,0.11000001,174.0,3
0.5669494,-1.509073,-0.095600404,0.11000001,177.0,3
0.58145136,-1.5078586,-0.09696886,0.11000001,180.0,3
0.59156084,-1.5007106,-0.0979006,0.11000001,183.0,3
0.59744895,-1.4878117,-0.098423764,0.11000001,186.0,3
0.599313,-1.4693769,-0.0985643,0.11000001,189.0,3
0.59736896,-1.4456543,-0.09835169,0.11000001,192.0,3
0.59182954,-1.4169968,-0.09781286,0.11000001,195.0,3
0.5829226,-1.3836366,-0.09697457,0.11000001,198.0,3
-24.24281,324.67963,1.8137301,0.11000001,0.0,4
