dBdt,dSdt,dPdt,dVdt,t,Run
-0.6042418,-2.6940491,0.17975862,0.11000001,63.0,2
-0.78371733,-2.480649,0.18119478,0.11000001,66.0,2
-0.94453424,-2.4837856,0.18179287,0.11000001,69.0,2
-1.0997695,-2.1033459,0.18156135,0.11000001,72.0,2
-1.2225578,-1.834315,0.17984976,0.11000001,75.0,2
-1.3205594,-1.8314054,0.1767495,0.11000001,78.0,2
-1.411306,-1.4729538,0.17246214,0.11000001,81.0,2
-1.4703423,-1.1413113,0.16656575,0.11000001,84.0,2
-1.5002865,-1.3078301,0.15933666,0.11000001,87.0,2
-1.5351391,-0.9561735,0.15136757,0.11000001,90.0,2
-1.5395894,-0.7321323,0.1421808,0.11000001,93.0,2
-1.5234346,-0.8842318,0.13232718,0.11000001,96.0,2
-1.5126866,-0.7754927,0.12229249,0.11000001,99.0,2
-1.4896963,-0.6441227,0.111813374,0.11000001,102.0,2
-1.4536132,-0.56693524,0.10111665,0.11000001,105.0,2
-1.4088548,-0.5364211,0.090494655,0.11000001,108.0,2
-1.3592132,-0.6446993,0.08014148,0.11000001,111.0,2
-1.3144201,-0.5384601,0.07016122,0.11000001,114.0,2
-1.2603476,-0.44555184,0.06038916,0.11000001,117.0,2
-1.1985912,-0.4606684,0.051072646,0.11000001,120.0,2
-1.1369865,-0.34926772,0.04241218,0.11000001,123.0,2
-1.0675988,-0.45277205,0.03439864,0.11000001,126.0,2
-1.0053043,-0.44772798,0.027230931,0.11000001,129.0,2
-0.94306386,-0.30372137,0.020701531,0.11000001,132.0,2
-0.8720766,-0.44314775,0.014826779,0.11000001,135.0,2
-0.8116113,-0.49563596,0.009831104,0.11000001,138.0,2
-0.7558911,-0.42873073,0.0054171197,0.11000001,141.0,2
-0.69717515,-0.4440386,0.0014769869,0.11000001,144.0,2
-0.6411659,-0.39105594,-0.0018914987,0.11000001,147.0,2
-0.5835406,-0.41452977,-0.0047432682,0.11000001,150.0,2
-0.52952677,-0.462324,-0.0070230323,0.11000001,153.0,2
-0.480786,-0.4619334,-0.008818263,0.11000001,156.0,2
-0.43418568,-0.46551642,-0.010248943,0.11000001,159.0,2
-0.39005932,-0.3640877,-0.011346655,0.11000001,162.0,2
-0.34166488,-0.34139276,-0.012144594,0.11000001,165.0,2
-0.2943029,-0.4570051,-0.012509464,0.11000001,168.0,2
-0.25694466,-0.42033407,-0.012457385,0.11000001,171.0,2
-0.21968201,-0.42766312,-0.01222701,0.11000001,174.0,2
-0.18536992,-0.46276942,-0.01178901,0.11000001,177.0,2
-0.15576804,-0.44961312,-0.011188265,0.11000001,180.0,2
-0.12772699,-0.43355715,-0.010512474,0.11000001,183.0,2
-0.10103956,-0.48331633,-0.009765103,0.11000001,186.0,2
-0.07987997,-0.40684614,-0.008943005,0.11000001,189.0,2
-0.05614597,-0.33854884,-0.0081542665,0.11000001,192.0,2
-0.030359842,-0.31097484,-0.0073031336,0.11000001,195.0,2
-0.005126425,-0.35254383,-0.0063146767,0.11000001,198.0,2
-4.7179303,266.9082,0.15199275,0.11000001,0.0,3
1.8310629,32.35679,0.022170603,0.11000001,3.0,3
2.7661672,7.203835,-0.0016408889,0.11000001,6.0,3
3.0459032,-0.2215615,-0.0039568623,0.11000001,9.0,3
3.1139417,-3.193853,0.007328413,0.11000001,12.0,3
3.101804,-4.5262427,0.028195087,0.11000001,15.0,3
3.0554268,-5.151753,0.053194094,0.11000001,18.0,3
2.977037,-5.4362044,0.0775583,0.11000001,21.0,3
2.8575711,-5.529691,0.098731086,0.11000001,24.0,3
2.6935086,-5.5002522,0.11598288,0.11000001,27.0,3
2.4889863,-5.385291,0.1295652,0.11000001,30.0,3
2.2527483,-5.2095895,0.14010622,0.11000001,33.0,3
1.9949443,-4.9913726,0.14829755,0.11000001,36.0,3
1.7252371,-4.7444835,0.15475912,0.11000001,39.0,3
1.4518696,-4.4794955,0.15998806,0.11000001,42.0,3
1.1814646,-4.204453,0.16435255,0.11000001,45.0,3
0.91908085,-3.9254675,0.16809817,0.11000001,48.0,3
0.66845065,-3.6471548,0.17136414,0.11000001,51.0,3
