dTdt,dEBdt,dStydt,dH2dt,dBeEtdt,dToMedt,t,Run
-0.013931637,-0.03758476,0.0011503389,-0.02397882,0.009739143,0.026655488,10.32,0
-0.0021310053,-0.037095115,0.00087339047,-0.024147699,0.009746606,0.02653306,10.44,0
0.009196069,-0.036620636,0.0006122404,-0.024302386,0.009754508,0.026411396,10.56,0
0.020087874,-0.036162,0.00036563948,-0.024444161,0.009762848,0.026290458,10.68,0
0.030600835,-0.035716712,0.00013314685,-0.024573281,0.009771565,0.026170189,10.8,0
0.04072286,-0.035284888,-8.567839e-05,-0.024690768,0.009780562,0.02605056,10.92,0
0.050504323,-0.03486537,-0.00029237932,-0.024797227,0.009789906,0.02593155,11.04,0
0.059955306,-0.034457587,-0.0004871764,-0.024893267,0.009799509,0.025813084,11.16,0
0.06909596,-0.034060705,-0.0006708779,-0.024979496,0.009809472,0.02569516,11.28,0
0.0779424,-0.03367449,-0.0008437043,-0.025056649,0.009819652,0.025577761,11.4,0
0.08653091,-0.033297773,-0.001006868,-0.025125107,0.0098299915,0.025460837,11.52,0
0.094849385,-0.032930832,-0.0011605527,-0.025185129,0.00984059,0.025344415,11.64,0
0.102932096,-0.032572377,-0.0013051626,-0.025237544,0.009851358,0.025228417,11.76,0
0.110789105,-0.03222185,-0.0014415425,-0.025282543,0.009862285,0.025112791,11.88,0
0.11844259,-0.031879842,-0.0015696927,-0.025320992,0.009873411,0.024997614,12.0,0
-50.162968,-1.319325,1.1341183,1.1150278,0.15189634,0.019223994,0.0,1
-43.999977,-1.1563317,0.99850696,0.97824055,0.12666126,0.020927742,0.12,1
-39.0336,-1.0259826,0.8889959,0.86787677,0.10722239,0.022165112,0.24,1
-34.94639,-0.91934216,0.7985742,0.77686924,0.091939814,0.023046903,0.36,1
-31.522432,-0.830432,0.7225486,0.7004604,0.079712935,0.02365679,0.48,1
-28.610832,-0.75511885,0.657658,0.6353382,0.06978281,0.024057481,0.6,1
-26.103342,-0.69046277,0.60156715,0.57913035,0.06161301,0.024296274,0.72,1
-23.920427,-0.63431716,0.5525597,0.53009313,0.054815147,0.024409086,0.84,1
-22.002417,-0.5850821,0.5093468,0.48691773,0.049102798,0.024423713,0.96,1
-20.303635,-0.54153895,0.47094023,0.44860104,0.044260006,0.024361657,1.08,1
-18.788567,-0.5027462,0.4365715,0.41436294,0.040122304,0.024239851,1.2,1
-17.429121,-0.46796286,0.405632,0.38358575,0.036561877,0.024071734,1.3199999999999998,1
-16.202806,-0.4365985,0.377634,0.35577458,0.033478465,0.023867924,1.44,1
-15.09135,-0.40817568,0.35218108,0.3305275,0.030792363,0.023636993,1.56,1
-14.079795,-0.38230562,0.32894805,0.30751446,0.028439743,0.023385823,1.68,1
-13.155716,-0.35866672,0.3076653,0.28646174,0.026368797,0.023119943,1.7999999999999998,1
-12.308737,-0.33699077,0.28810653,0.26714045,0.024537267,0.02284383,1.92,1
-11.530094,-0.3170533,0.27008128,0.24935691,0.022910384,0.022561122,2.04,1
-10.812322,-0.29866248,0.25342634,0.23294614,0.02145914,0.022274785,2.16,1
-10.149046,-0.28165558,0.23800236,0.21776676,0.020159539,0.021987142,2.28,1
-9.534748,-0.2658924,0.22368899,0.20369716,0.01899146,0.02170011,2.4,1
-8.964654,-0.25125122,0.2103813,0.19063123,0.017937645,0.02141525,2.52,1
-8.434611,-0.23762673,0.19798784,0.17847611,0.016983746,0.021133807,2.64,1
-7.9409413,-0.22492547,0.18642765,0.16715021,0.01611736,0.020856667,2.76,1
-7.4804344,-0.2130665,0.17562948,0.15658212,0.015328012,0.020584602,2.88,1
-7.0502315,-0.2019777,0.16553079,0.14670806,0.014606594,0.02031826,3.0,1
-6.6477866,-0.19159457,0.15607432,0.13747086,0.013945135,0.020057987,3.12,1
-6.270858,-0.18186049,0.14720972,0.12882034,0.013337017,0.019804139,3.24,1
-5.917381,-0.17272359,0.13889228,0.12071056,0.01277625,0.019556906,3.36,1
-5.5855546,-0.16413786,0.13108015,0.11310037,0.012257697,0.019316431,3.48,1
-5.2737308,-0.15606244,0.12373693,0.105952814,0.011776871,0.019082783,3.6,1
-4.9804096,-0.1484591,0.116828874,0.0992341,0.011329881,0.018855931,3.72,1
-4.704243,-0.14129336,0.11032492,0.09291369,0.010913124,0.018635837,3.84,1
-4.4439964,-0.1345353,0.1041977,0.08696373,0.010523674,0.0184225,3.96,1
-4.198571,-0.12815578,0.09842147,0.08135869,0.010158686,0.018215753,4.08,1
-3.9669135,-0.1221286,0.09297251,0.07607493,0.009815831,0.01801545,4.2,1
-3.748088,-0.116430946,0.08782968,0.071091734,0.009493047,0.01782144,4.32,1
-3.5412564,-0.11104,0.08297268,0.0663888,0.009188277,0.017633636,4.44,1
-3.345607,-0.10593647,0.07838389,0.061948307,0.008900066,0.017451791,4.56,1
-3.1604161,-0.10110163,0.07404596,0.057753522,0.008626723,0.017275723,4.68,1
-2.9850106,-0.09651815,0.06994306,0.05378874,0.0083669145,0.017105274,4.8,1
-2.81877,-0.09217072,0.06606134,0.050039597,0.008119505,0.016940247,4.92,1
-2.6611037,-0.08804388,0.062386543,0.046492934,0.007883372,0.016780442,5.04,1
-2.5115063,-0.08412468,0.058906756,0.0431365,0.0076575475,0.01662566,5.16,1
-2.3694694,-0.08040053,0.05561005,0.039958786,0.007441168,0.016475733,5.279999999999999,1
-2.234526,-0.0768597,0.052485727,0.036949057,0.007233327,0.016330477,5.4,1
-2.1062443,-0.073490635,0.04952369,0.03409736,0.0070334272,0.016189639,5.52,1
-1.9842421,-0.0702838,0.046714414,0.031394366,0.0068407524,0.016053105,5.64,1
-1.8681421,-0.067229316,0.044048794,0.028831458,0.0066548353,0.015920682,5.76,1
