Temp,EB,Sty,H2,BeEt,ToMe,t,Run,dTdt,dEBdt,dStydt,dH2dt,dBeEtdt,dToMedt
826.9703375195971,1.5272853163615387,1.3827327027597183,1.3037213434979797,0.07275180010875644,0.07901135926173995,6.0,2,-2.157241644536912,-0.07007864242812678,0.05427610028237375,0.042220445208354995,0.003746887071734279,0.012055655074018751
826.7173782414337,1.5190270138466746,1.3891023072713213,1.3086485510631907,0.07319810116562547,0.08045375620813207,6.12,2,-2.0594926865728382,-0.06757855595748499,0.051901946529107,0.03991730419384605,0.003691967093117054,0.01198464233526094
826.4758841860776,1.5110620468961755,1.3951933865393193,1.3133056311498275,0.07363798966676494,0.0818877553894935,6.24,2,-1.9661186935451196,-0.06518882054284535,0.04963316139439411,0.037717478467869665,0.0036399762219267865,0.011915682926524444
826.2453428207772,1.5033774849654076,1.4010182885371392,1.3177046890603996,0.07407180551246514,0.08331359947674129,6.359999999999999,2,-1.8769147251488405,-0.06290430966955875,0.047464869946227756,0.03561615657594181,0.003590726353045047,0.011848713370285945
826.0252655495293,1.4959609965770577,1.4065887914730282,1.3218572679700593,0.0744998669386967,0.08473152350297054,6.4799999999999995,2,-1.7916864436351876,-0.060720157678201464,0.04539244379465164,0.03360877360967734,0.0035440436985755136,0.01178367018497431
825.8151863480007,1.4888008159471657,1.4119161353258864,1.3257743806184656,0.07492247251127845,0.0861417547074225,6.6,2,-1.7102494049681274,-0.05863174273530374,0.04341148506267974,0.031690994873026845,0.0034997674829711045,0.011720490189652896
825.6146609523921,1.4818857223677466,1.417011041379539,1.3294665283563163,0.07533990172124352,0.08754451302322427,6.72,2,-1.632428569199731,-0.05663467523328962,0.041517815537125885,0.029858704698805444,0.0034577488578432904,0.01165911083832044
825.423265446891,1.4752050058636685,1.4218837446703245,1.3329437338951957,0.07575241718262969,0.08894001077513052,6.84,2,-1.5580576264363357,-0.05472478143414456,0.03970746123838571,0.02810799085082044,0.003417849808193572,0.011599470387565274
825.2405953759624,1.468748445002356,1.4265440150054185,1.3362155620669236,0.07616026554548186,0.09032845293849676,6.96,2,-1.486978526027518,-0.0528980921647212,0.03797664181173062,0.026435133706266732,0.003379942247526703,0.011541508105463885
825.066264880466,1.4625062853146606,1.4310011774064484,1.3392911400263878,0.0765636783905817,0.09171003738006242,7.08,2,-1.419041032165515,-0.05115083210674247,0.0363217604706071,0.024836596031143958,0.003343907196672211,0.011485164439463146
