Temp,EB,Sty,H2,BeEt,ToMe,t,Run
59.210682,1.5209014,0.89462245,1.0895686,0.1151297,0.015772596,2.88,1
57.878605,1.4418144,0.92842114,1.0958741,0.11498893,0.020390678,3.0,1
56.711674,1.3669611,0.9635308,1.1012832,0.11448913,0.024730062,3.12,1
55.69666,1.2985946,0.99892014,1.1060319,0.113531224,0.028711058,3.24,1
54.811695,1.2382911,1.033572,1.1103274,0.112073846,0.03228249,3.36,1
54.028286,1.1868694,1.0665845,1.114367,0.11013548,0.035432525,3.48,1
53.314594,1.144432,1.097253,1.1183423,0.107785724,0.03819066,3.6,1
52.638985,1.1104826,1.1251236,1.1224351,0.10513024,0.04062199,3.72,1
51.973217,1.0840838,1.1500138,1.1268079,0.102293886,0.04281586,3.84,1
51.294697,1.0640205,1.1720012,1.1315929,0.09940496,0.04487204,3.96,1
50.587822,1.0489557,1.1913818,1.136881,0.09658228,0.046886947,4.08,1
49.844193,1.0375644,1.2086078,1.1427157,0.09392571,0.048942275,4.2,1
49.06205,1.0286416,1.2242131,1.1490933,0.09151081,0.05109767,4.32,1
48.245018,1.021178,1.2387431,1.1559703,0.08938715,0.053387728,4.44,1
47.400562,1.014402,1.2526928,1.1632768,0.08757953,0.055823296,4.56,1
46.538296,1.0077903,1.2664664,1.1709304,0.08609171,0.05839565,4.68,1
45.668617,1.0010533,1.2803532,1.1788504,0.08491093,0.061082195,4.8,1
44.801567,0.9941008,1.2945231,1.1869673,0.084012866,0.06385238,4.92,1
43.946037,0.9869966,1.3090365,1.1952266,0.08336612,0.06667284,5.04,1
43.10939,0.9799097,1.3238622,1.2035894,0.08293611,0.06951149,5.16,1
42.29728,0.9730662,1.338901,1.2120293,0.08268814,0.072340116,5.279999999999999,1
41.513702,0.9667082,1.3540107,1.2205272,0.082589604,0.07513581,5.4,1
40.761124,0.96106005,1.3690288,1.2290678,0.08261165,0.07788164,5.52,1
40.040745,0.9563064,1.3837926,1.2376359,0.08272986,0.08056635,5.64,1
39.35276,0.9525787,1.3981539,1.2462132,0.08292463,0.08318367,5.76,1
38.696625,0.94995105,1.4119891,1.2547783,0.08318093,0.085731305,5.88,1
38.071316,0.94844264,1.4252055,1.2633055,0.08348779,0.08820985,6.0,1
37.475544,0.94802535,1.4377421,1.2717657,0.083837494,0.09062168,6.12,1
36.907932,0.9486332,1.4495692,1.2801276,0.084225,0.09296989,6.24,1
36.36713,0.9501744,1.4606842,1.2883594,0.0846469,0.09525753,6.359999999999999,1
35.851913,0.95254135,1.4711055,1.29643,0.085100934,0.09748714,6.48,1
35.3612,0.9556202,1.4808689,1.3043103,0.08558544,0.099660374,6.6,1
34.89404,0.95929855,1.490021,1.3119755,0.086098924,0.10177804,6.72,1
34.449646,0.96347046,1.4986143,1.3194047,0.086639896,0.103840075,6.84,1
34.02732,0.96804047,1.5067033,1.3265829,0.08720672,0.10584586,6.96,1
33.626427,0.97292507,1.5143418,1.3335004,0.08779759,0.10779448,7.08,1
33.246384,0.97805375,1.5215797,1.3401532,0.08841056,0.10968495,7.199999999999999,1
32.886597,0.98336756,1.5284622,1.3465424,0.08904359,0.11151655,7.319999999999999,1
32.546482,0.98881876,1.5350288,1.3526733,0.08969466,0.11328893,7.439999999999999,1
32.22541,0.99436873,1.5413133,1.3585557,0.09036184,0.11500227,7.56,1
31.922739,0.99998665,1.5473441,1.3642019,0.09104332,0.116657354,7.68,1
31.637796,1.0056474,1.5531446,1.3696258,0.09173746,0.11825557,7.8,1
31.369884,1.0113305,1.5587339,1.3748436,0.09244281,0.1197988,7.92,1
31.118301,1.0170188,1.5641273,1.3798714,0.09315814,0.12128945,8.04,1
30.882332,1.0226974,1.5693369,1.3847253,0.09388243,0.12273024,8.16,1
30.661266,1.0283527,1.5743728,1.3894211,0.09461486,0.12412429,8.28,1
30.454428,1.0339719,1.5792441,1.3939735,0.095354795,0.1254748,8.4,1
30.261139,1.0395427,1.5839581,1.3983964,0.096101746,0.12678503,8.52,1
30.080772,1.0450534,1.5885212,1.4027023,0.09685534,0.12805827,8.64,1
29.912724,1.0504922,1.5929396,1.4069026,0.09761539,0.12929772,8.76,1
29.756428,1.0558479,1.5972195,1.4110074,0.09838172,0.13050646,8.879999999999999,1
29.611359,1.0611099,1.6013664,1.4150261,0.09915425,0.13168733,9.0,1
29.477036,1.066268,1.6053855,1.4189664,0.09993289,0.132843,9.12,1
29.353006,1.0713124,1.6092823,1.4228354,0.10071765,0.13397594,9.24,1
29.238863,1.0762342,1.6130617,1.4266388,0.101508476,0.13508831,9.36,1
29.134233,1.0810252,1.6167287,1.4303824,0.102305345,0.1361821,9.48,1
29.03877,1.0856785,1.6202878,1.4340705,0.10310822,0.13725907,9.6,1
28.952166,1.0901875,1.6237434,1.4377073,0.10391702,0.13832067,9.72,1
28.874125,1.0945469,1.6270994,1.4412962,0.10473169,0.13936834,9.84,1
28.804392,1.0987521,1.6303593,1.4448402,0.10555209,0.1404032,9.96,1
28.742723,1.1027993,1.6335266,1.4483417,0.106378116,0.1414262,10.08,1
28.688896,1.1066854,1.6366041,1.4518034,0.10720959,0.14243828,10.2,1
28.6427,1.1104081,1.6395946,1.455227,0.10804637,0.14344013,10.32,1
28.60394,1.1139655,1.6425002,1.458614,0.108888246,0.14443235,10.44,1
28.57244,1.1173564,1.6453234,1.4619658,0.10973501,0.1454155,10.56,1
28.548029,1.1205796,1.6480659,1.4652834,0.11058644,0.14638996,10.68,1
28.530539,1.1236348,1.6507297,1.4685677,0.111442335,0.14735612,10.8,1
28.519821,1.1265216,1.6533161,1.4718198,0.11230245,0.14831424,10.92,1
28.515732,1.1292403,1.6558269,1.4750397,0.11316657,0.14926454,11.04,1
28.51813,1.1317908,1.6582634,1.4782284,0.11403447,0.15020719,11.16,1
28.526875,1.1341736,1.6606264,1.4813861,0.114905916,0.15114231,11.28,1
28.541843,1.1363894,1.6629173,1.4845128,0.115780696,0.15206996,11.4,1
28.562902,1.1384385,1.665137,1.4876087,0.1166586,0.1529902,11.52,1
28.58994,1.1403211,1.6672866,1.4906738,0.11753939,0.15390305,11.64,1
28.622831,1.1420385,1.669367,1.4937081,0.11842288,0.15480842,11.76,1
28.661467,1.143591,1.6713789,1.4967116,0.119308904,0.15570626,11.88,1
28.705732,1.1449792,1.6733233,1.4996841,0.12019724,0.15659648,12.0,1
69.93192,2.8086147,0.055845685,0.11940414,0.026144417,0.046293635,0.0,2
69.61304,2.494872,0.3737942,0.06858538,0.041115474,-0.008077572,0.12,2
65.5064,2.182596,0.58370185,0.12209124,0.06923194,-0.028917117,0.24,2
62.17421,1.9355956,0.73844475,0.19064462,0.08862025,-0.04224114,0.36,2
60.511345,1.7989148,0.8447681,0.25042623,0.09340413,-0.053250793,0.48,2
59.81113,1.7608294,0.90675485,0.3012965,0.0873066,-0.0612102,0.6,2
59.079502,1.7747067,0.9386816,0.35365984,0.07756895,-0.06434781,0.72,2
57.827904,1.8027278,0.9544505,0.41310486,0.06896044,-0.06279745,0.84,2
56.048298,1.8272983,0.9620556,0.47822288,0.06291166,-0.05811952,0.96,2
53.928497,1.8436487,0.9647044,0.5444963,0.059063125,-0.052026037,1.08,2
51.660404,1.8517245,0.9633542,0.6075785,0.056623977,-0.045689043,1.2,2
49.376728,1.8519535,0.9584528,0.66446424,0.05497268,-0.039687328,1.3199999999999998,2
47.15476,1.8439653,0.9506771,0.7133735,0.053763058,-0.03423465,1.44,2
45.03603,1.8266925,0.94103944,0.75336397,0.052853387,-0.029399497,1.56,2
43.04144,1.7988883,0.93072253,0.7840877,0.052216694,-0.025222957,1.68,2
41.17999,1.7596453,0.92086196,0.8056967,0.051873673,-0.021752805,1.7999999999999998,2
39.454056,1.7087871,0.91237897,0.8187902,0.051845178,-0.019035898,1.92,2
37.86383,1.6471059,0.90589,0.82432723,0.05211654,-0.017101286,2.04,2
36.411,1.5764488,0.9016754,0.8234947,0.052612446,-0.015950672,2.16,2
35.100864,1.4996399,0.8996827,0.8175569,0.053186532,-0.015559836,2.28,2
33.94154,1.4202166,0.8995488,0.80772614,0.05363227,-0.015885735,2.4,2
32.94005,1.3419677,0.90065014,0.7950864,0.053718153,-0.016870433,2.52,2
32.096516,1.268337,0.90219575,0.7805778,0.053241294,-0.018436166,2.64,2
31.39913,1.2018375,0.9033728,0.76502544,0.052082997,-0.02047371,2.76,2
30.82261,1.1436594,0.9035201,0.74917203,0.050245006,-0.02283453,2.88,2
30.33145,1.0936041,0.90228003,0.7336817,0.047850907,-0.02533809,3.0,2
29.886978,1.0503622,0.8996682,0.7191004,0.045110825,-0.027798336,3.12,2
29.45551,1.0120288,0.8960282,0.7057953,0.042262644,-0.030060897,3.24,2
29.01439,0.97667545,0.8918941,0.6939111,0.039512765,-0.032033794,3.36,2
28.554033,0.94279385,0.88782185,0.6833845,0.036996752,-0.0336972,3.48,2
28.075888,0.90950865,0.8842575,0.67401636,0.03476981,-0.03508906,3.6,2
27.588137,0.87656003,0.8814723,0.6655688,0.032821745,-0.036276937,3.72,2
27.101074,0.84413767,0.8795619,0.6578475,0.03110394,-0.03732973,3.84,2
26.623648,0.812659,0.87848526,0.650741,0.029556217,-0.03829881,3.96,2
26.161644,0.782571,0.87811947,0.64422077,0.028126415,-0.03921115,4.08,2
25.71736,0.75421417,0.87831146,0.63831425,0.026780391,-0.040071808,4.2,2
25.290318,0.7277633,0.878917,0.6330686,0.025503438,-0.040871765,4.32,2
24.87846,0.70323205,0.87982166,0.62851995,0.024295926,-0.041597016,4.44,2
24.479311,0.6805159,0.8809464,0.62467295,0.023166278,-0.04223612,4.56,2
24.090855,0.6594501,0.88224155,0.62149507,0.022124333,-0.042784516,4.68,2
23.711954,0.63986075,0.8836766,0.6189225,0.021176636,-0.0432456,4.8,2
23.342367,0.62159765,0.8852291,0.61687124,0.02032447,-0.0436292,4.92,2
22.982517,0.6045471,0.8868772,0.6152505,0.019563982,-0.043948926,5.04,2
22.633158,0.58863,0.88859576,0.6139743,0.01888768,-0.044219326,5.16,2
22.295069,0.5737918,0.8903562,0.6129667,0.018286329,-0.044453792,5.279999999999999,2
21.96887,0.5599899,0.89212805,0.6121651,0.017750578,-0.044663433,5.4,2
21.654907,0.5471835,0.8938815,0.61151886,0.017271986,-0.0448568,5.52,2
21.353281,0.53532755,0.89559007,0.6109871,0.016843451,-0.045040186,5.64,2
21.06388,0.5243709,0.89723194,0.6105361,0.016459223,-0.045218244,5.76,2
20.786476,0.51425785,0.89879024,0.6101369,0.016114559,-0.045394562,5.88,2
20.520765,0.5049305,0.90025324,0.60976464,0.015805384,-0.045572087,6.0,2
20.266436,0.49633175,0.9016131,0.60939705,0.015528019,-0.045753382,6.12,2
20.023157,0.4884074,0.90286547,0.60901564,0.015278967,-0.04594068,6.24,2
19.79061,0.4811072,0.9040079,0.6086047,0.01505488,-0.04613588,6.359999999999999,2
19.56846,0.4743853,0.90504,0.6081522,0.014852559,-0.04634048,6.48,2
19.356369,0.46819925,0.9059625,0.6076491,0.014669063,-0.046555534,6.6,2
19.153961,0.46251002,0.90677696,0.6070896,0.014501725,-0.04678164,6.72,2
18.96085,0.4572808,0.9074859,0.6064704,0.014348207,-0.04701897,6.84,2
18.77663,0.4524769,0.90809286,0.60579014,0.01420649,-0.047267366,6.96,2
18.600885,0.44806504,0.9086018,0.605049,0.0140748955,-0.0475264,7.08,2
18.433195,0.44401413,0.9090176,0.60424846,0.013951977,-0.04779546,7.199999999999999,2
18.273151,0.44029468,0.9093455,0.6033911,0.013836499,-0.04807381,7.319999999999999,2
18.12035,0.43687916,0.9095911,0.6024798,0.013727427,-0.048360612,7.439999999999999,2
17.974407,0.43374193,0.90976024,0.6015182,0.013623872,-0.04865502,7.56,2
17.834948,0.43085954,0.9098588,0.60051024,0.013525048,-0.04895612,7.68,2
17.701618,0.4282101,0.9098926,0.5994601,0.013430305,-0.049263004,7.8,2
17.574074,0.42577374,0.90986747,0.59837246,0.013339081,-0.049574748,7.92,2
17.451992,0.42353204,0.9097888,0.59725165,0.013250914,-0.04989042,8.04,2
17.33506,0.42146823,0.9096622,0.5961024,0.01316542,-0.050209127,8.16,2
17.222988,0.4195668,0.9094926,0.59492934,0.013082284,-0.05052996,8.28,2
17.115494,0.41781354,0.90928507,0.59373677,0.013001265,-0.050852075,8.4,2
17.012316,0.41619545,0.9090443,0.59252906,0.012922162,-0.05117466,8.52,2
16.913212,0.41470075,0.9087747,0.59131026,0.012844832,-0.051496953,8.64,2
16.817944,0.4133185,0.9084802,0.5900845,0.012769159,-0.05181822,8.76,2
16.7263,0.41203898,0.908165,0.5888552,0.01269506,-0.05213781,8.879999999999999,2
16.638075,0.41085327,0.90783226,0.5876259,0.012622475,-0.052455105,9.0,2
16.553082,0.40975332,0.9074855,0.5863995,0.012551356,-0.052769553,9.12,2
16.471144,0.4087318,0.9071276,0.58517915,0.012481672,-0.053080644,9.24,2
16.392094,0.40778205,0.9067614,0.58396745,0.012413415,-0.053387936,9.36,2
16.315783,0.40689826,0.90638924,0.5827668,0.012346559,-0.053690992,9.48,2
16.24207,0.4060748,0.9060134,0.5815794,0.012281126,-0.053989477,9.6,2
16.170818,0.4053069,0.90563613,0.580407,0.012217109,-0.054283064,9.72,2
16.101908,0.40459034,0.90525883,0.5792516,0.01215452,-0.05457149,9.84,2
16.035223,0.40392095,0.90488327,0.57811445,0.012093356,-0.054854505,9.96,2
15.970658,0.40329537,0.9045107,0.5769971,0.012033631,-0.055131923,10.08,2
15.908112,0.40271002,0.9041425,0.5759003,0.011975373,-0.055403586,10.2,2
15.847494,0.4021622,0.90377957,0.5748253,0.011918574,-0.055669367,10.32,2
15.788718,0.40164927,0.903423,0.57377267,0.011863238,-0.055929177,10.44,2
15.731703,0.40116876,0.9030734,0.572743,0.01180938,-0.05618295,10.56,2
15.676375,0.40071857,0.9027314,0.5717368,0.011756991,-0.056430645,10.68,2
15.622665,0.4002967,0.9023975,0.57075435,0.011706066,-0.05667226,10.8,2
15.570512,0.3999015,0.90207225,0.56979585,0.011656603,-0.056907784,10.92,2
15.519849,0.39953125,0.901756,0.5688614,0.011608587,-0.05713726,11.04,2
15.470619,0.39918464,0.9014488,0.5679512,0.0115620075,-0.057360698,11.16,2
