tB,tS,tP,tV,t,Run
91.90016,80.54687,14.38992,12.080007,108.0,2
89.20133,78.555275,14.738555,12.410007,111.0,2
86.088104,75.540855,15.060126,12.740008,114.0,2
82.543396,71.96051,15.33463,13.070009,117.0,2
78.65316,67.67128,15.532591,13.40001,120.0,2
74.55628,62.72625,15.629185,13.730011,123.0,2
70.50614,57.863407,15.606316,14.060012,126.0,2
66.76601,53.070972,15.470605,14.390014,129.0,2
63.52112,49.111065,15.253231,14.720015,132.0,2
60.88901,46.26934,14.994971,15.050015,135.0,2
58.78645,43.915768,14.742035,15.380016,138.0,2
57.04917,42.393032,14.524989,15.710017,141.0,2
55.5895,41.654804,14.35138,16.040018,144.0,2
54.32512,41.266384,14.220641,16.37002,147.0,2
53.194954,41.28086,14.126734,16.70002,150.0,2
52.155422,41.423466,14.06265,17.030022,153.0,2
51.16136,41.687706,14.02269,17.360022,156.0,2
50.198627,42.14012,14.0,17.690023,159.0,2
49.264668,42.68674,13.9890995,18.020023,162.0,2
48.37706,43.44081,13.9844675,18.350025,165.0,2
47.539215,44.137615,13.984012,18.680025,168.0,2
46.705517,44.675022,13.990337,19.010027,171.0,2
45.87313,45.449272,14.001046,19.340027,174.0,2
45.05654,46.21574,14.013703,19.670029,177.0,2
44.241962,46.972458,14.028951,20.00003,180.0,2
43.430256,47.824955,14.0458765,20.33003,183.0,2
42.62908,48.714096,14.06346,20.660032,186.0,2
41.823845,49.544975,14.082983,20.990032,189.0,2
41.026115,50.56965,14.102754,21.320034,192.0,2
40.258858,51.605656,14.121017,21.650034,195.0,2
39.51632,52.587048,14.1389265,21.980034,198.0,2
0.5997599,30.2066,-0.19042747,0.2,0.0,3
-2.527459,382.12616,2.107325,0.53000003,3.0,3
11.59515,389.835,1.4099699,0.86000013,6.0,3
23.729586,387.90292,1.1317974,1.1900002,9.0,3
34.93083,383.47385,1.0090231,1.5200001,12.0,3
45.474155,377.88303,0.9777179,1.8500003,15.0,3
55.49175,370.9062,1.0135995,2.1800003,18.0,3
65.08501,361.91846,1.1038862,2.5100005,21.0,3
74.34072,350.3258,1.2398518,2.8400006,24.0,3
83.322845,335.73975,1.4145694,3.1700003,27.0,3
92.05821,318.04095,1.6224647,3.5,30.0,3
100.52159,297.39722,1.8597435,3.83,33.0,3
108.62157,274.27045,2.125414,4.1600003,36.0,3
116.18853,249.42467,2.4226992,4.4900007,39.0,3
122.96808,223.93095,2.7604408,4.8200006,42.0,3
128.62868,199.14153,3.153589,5.150001,45.0,3
132.79819,176.57326,3.6209917,5.4800014,48.0,3
135.1466,157.62251,4.1784873,5.8100014,51.0,3
135.51355,143.09604,4.8274817,6.140001,54.0,3
134.03127,132.7575,5.545074,6.4700003,57.0,3
131.14418,125.328575,6.2869515,6.8,60.0,3
127.46535,119.17112,7.0071626,7.1299996,63.0,3
123.55374,113.16516,7.680068,7.46,66.0,3
119.776665,107.03338,8.305089,7.7900004,69.0,3
116.31277,101.0482,8.89478,8.120001,72.0,3
113.22076,95.61414,9.461398,8.450001,75.0,3
110.49692,91.03469,10.011119,8.780002,78.0,3
108.10459,87.449844,10.544555,9.110002,81.0,3
105.98745,84.84976,11.059584,9.440002,84.0,3
104.077736,83.113464,11.55384,9.770002,87.0,3
102.30284,82.05253,12.026125,10.100002,90.0,3
100.59,81.44823,12.476698,10.430003,93.0,3
98.86853,81.077965,12.906932,10.760003,96.0,3
97.07028,80.72833,13.318622,11.090004,99.0,3
95.12863,80.20006,13.713157,11.420005,102.0,3
92.977745,79.307915,14.090547,11.750006,105.0,3
90.55388,77.882706,14.448244,12.080007,108.0,3
87.80063,75.78028,14.779711,12.410007,111.0,3
84.68173,72.90539,15.07294,12.740008,114.0,3
81.202995,69.251114,15.309746,13.070009,117.0,3
77.44017,64.945694,15.467492,13.40001,120.0,3
73.55675,60.274143,15.525257,13.730011,123.0,3
69.78527,55.635265,15.474069,14.060012,126.0,3
66.35936,51.428345,15.325805,14.390014,129.0,3
63.429344,47.93245,15.112588,14.720015,132.0,3
61.02258,45.25438,14.875167,15.050015,135.0,3
59.070366,43.356506,14.648528,15.380016,138.0,3
57.46531,42.11982,14.453987,15.710017,141.0,3
56.105568,41.401226,14.2993765,16.040018,144.0,3
54.913155,41.068584,14.183475,16.37002,147.0,3
53.834568,41.01588,14.100661,16.70002,150.0,3
52.835056,41.164207,14.044105,17.030022,153.0,3
51.892662,41.457363,14.007432,17.360022,156.0,3
50.993374,41.856384,13.985388,17.690023,159.0,3
50.128246,42.3339,13.973899,18.020023,162.0,3
49.29128,42.87138,13.969967,18.350025,165.0,3
48.47836,43.455544,13.971432,18.680025,168.0,3
47.68652,44.077152,13.976769,19.010027,171.0,3
46.913513,44.729565,13.984919,19.340027,174.0,3
46.1575,45.407986,13.995142,19.670029,177.0,3
45.416996,46.109,14.006935,20.00003,180.0,3
44.690685,46.829937,14.019946,20.33003,183.0,3
43.977383,47.569035,14.033934,20.660032,186.0,3
43.27605,48.324856,14.048729,20.990032,189.0,3
42.585697,49.096344,14.064208,21.320034,192.0,3
41.90547,49.882595,14.080284,21.650034,195.0,3
41.234547,50.68306,14.096898,21.980034,198.0,3
6.0761857,-32.673176,3.1694448,0.2,0.0,4
-2.6196942,362.20993,2.7570605,0.53000003,3.0,4
11.4175205,387.3727,1.5751736,0.86000013,6.0,4
24.114538,396.52777,1.0944867,1.1900002,9.0,4
35.934555,400.0727,0.86914676,1.5200001,12.0,4
47.006016,400.2473,0.7890587,1.8500003,15.0,4
57.454906,397.0141,0.8094298,2.1800003,18.0,4
67.42709,389.84866,0.9050021,2.5100005,21.0,4
77.065735,378.33875,1.0581493,2.8400006,24.0,4
86.48495,362.35724,1.2551752,3.1700003,27.0,4
95.748405,342.07816,1.4852614,3.5,30.0,4
