,Model,Data pts/run,Data pts/interval,Runs,Noise Lvl,Reg weight,Layers,Hid Nodes,Lrn rate,Activ Func,Euler steps,Epochs,MSE Train,Sim Time,MSE true alldat,MSE noisy alldat,MAE true alldat,MSE_dy pred alldat,MAE_dy pred alldat,MSE_dy dat alldat,MAE_dy dat alldat,stop criteria,MSE fitdat,MAE fitdat,MSE_dy dat fitdat ,MAE_dy dat fitdat,MSE_dy pred fitdat,MAE_dy pred fitdat
35,vdp,10,7,5,0.05,1.00E-06,2,20,0.1,tanh,40,255,0.004278042,226.0234089,1.326681068,1.420028839,0.800971218,1.190314651,0.61133936,2.037695582,0.833450821,converge,1.454026337,1.201456828,1.72313552,0.740472454,7.206337418,5.150102656
36,vdp,10,9,5,0.05,1.00E-06,1,10,0.1,tanh,40,367,0.005557884,301.6629112,42.33175709,42.31726563,2.451386053,58689448.96,985.4350704,1.971879248,0.804959308,converge,1.364475708,3.677079079,1.974725838,0.794056096,6.024719105,4.967854686
37,vdp,10,9,5,0.05,1.00E-06,2,10,0.1,tanh,40,534,0.004418205,603.5225942,1.569265105,1.648786011,0.882770126,1.150868061,0.558351392,1.906088604,0.793466284,converge,1.407129211,1.32415519,1.531166813,0.701004959,6.314537517,4.614586386
38,vdp,10,9,5,0.05,1.00E-06,1,15,0.1,tanh,40,426,0.00509492,355.333266,1.364237173,1.450615692,0.777034581,1.035702761,0.662655864,1.737194443,0.834016553,converge,1.387043915,1.165551872,1.746526271,0.825770339,9.308090255,6.344272921
39,vdp,10,9,5,0.05,1.00E-06,2,15,0.1,tanh,40,471,0.004720257,521.5098319,1.246379795,1.320615692,0.773228287,1.083360061,0.54602589,1.952074511,0.792582891,converge,1.407007751,1.159842431,1.680878536,0.737310885,5.542039172,4.587893599
40,vdp,10,9,5,0.05,1.00E-06,1,20,0.1,tanh,40,615,0.00552931,514.5281081,1.159658121,1.244248886,0.748037117,1.277038296,0.726919974,2.097470651,0.89419511,converge,1.35095993,1.122055676,2.060699748,0.875347594,8.548641026,6.137772654
41,vdp,10,9,5,0.05,1.00E-06,2,20,0.1,tanh,40,330,0.005065697,366.7823656,1.137469896,1.221068039,0.728132697,1.150915899,0.605710638,2.104180374,0.811357162,converge,1.362081604,1.092199046,1.911000486,0.772930312,6.841418632,5.227455362
42,vdp,10,10,5,0.05,1.00E-06,1,10,0.1,tanh,40,290,0.00620471,184.3898718,32.6098047,32.61907959,2.125168722,36746145.7,711.9287762,2.484724574,0.877119498,converge,1.410341949,3.187753084,2.467019965,0.883963704,9.169471868,6.103276858
43,vdp,10,10,5,0.05,1.00E-06,2,10,0.1,tanh,40,503,0.004798469,386.3298111,1.245019724,1.313688507,0.746026647,1.447716125,0.65046452,2.08861894,0.853645429,converge,1.38486145,1.11903997,1.879439199,0.81398991,7.812100222,5.485109081
44,vdp,10,10,5,0.05,1.00E-06,1,15,0.1,tanh,40,271,522.5738,173.0501459,13327.40127,13327.26875,94.42330175,1.12057E+13,1377808.018,7452.245576,63.72359278,diverge,11497.7225,141.6349526,7794.383833,65.44198266,6.69766E+13,10268480.26
